MatrixID,avgPopChange,ADM2_PCODE,ADM2_Name,ADM1_Region
1,0.0211190434390708,SN1201,Bakel,Tambacounda
2,0.568571674725263,SN0201,Bambey,Diourbel
3,0.0960912303563059,SN1401,Bignona,Ziguinchor
4,0.173842773903004,SN0401,Birkelane,Kaffrine
5,-0.0553305116247363,SN1101,Bounkiling,Sedhiou
6,-0.119517260662528,SN1001,Dagana,Saint Louis
7,-0.572998024638781,SN0101,Dakar,Dakar
8,-0.137675278185921,SN0202,Diourbel,Diourbel
9,1.21169779305005,SN0301,Ffatick,Fatick
10,0.0161172172371869,SN0302,Foundiougne,Fatick
11,1.31831583163943,SN0303,Gossas,Fatick
12,0.0653911655135967,SN1202,Goudiry,Tambacounda
13,0.193508195539686,SN1102,Goudomp,Sedhiou
14,3.92958724813259,SN0102,Guediawaye,Dakar
15,1.56995505517444,SN0501,Guinguineo,Kaolack
16,-0.107906808381343,SN0402,Kaffrine,Kaffrine
17,0.0809237794146677,SN0901,Kanel,Matam
18,-1.31363684830157,SN0502,Kaolack,Kaolack
19,0.931096631514367,SN0801,Kebemer,Louga
20,0.0422938669095297,SN0601,Kedougou,Kedougou
21,0.0456383973303829,SN0701,Kolda,Kolda
22,0.106810669726907,SN1203,Koumpentoum,Tambacounda
23,-0.0570152788681976,SN0403,Koungheul,Kaffrine
24,0.142138020475008,SN0802,Linguere,Louga
25,0.393014590712629,SN0803,Louga,Louga
26,0.0805158426669475,SN0404,Malem Hodar,Kaffrine
27,-0.143180371865617,SN0902,Matam,Matam
28,-1.60944020789222,SN0203,Mbacke,Diourbel
29,-0.844310314986979,SN1301,Mbour,Thies
30,0.0437488465363399,SN0702,Medina Yoroufoula,Kolda
31,0.0960865784168722,SN0503,Nioro Du Rip,Kaolack
32,0.407291885889588,SN1402,Oussouye,Ziguinchor
33,-2.59249223596834,SN0103,Pikine,Dakar
34,-0.0370472610289129,SN0903,Ranerou,Matam
35,0.406194215176594,SN1002,Podor,Saint Louis
36,-1.64157602349528,SN0104,Rufisque,Dakar
37,-0.994877363999252,SN1003,Saint Louis,Saint Louis
38,0.273797940738424,SN0602,Salemata,Kedougou
39,0.318196263358696,SN0603,Saraya,Kedougou
40,0.148390925804193,SN1103,Sedhiou,Sedhiou
41,-0.0764124119519332,SN1204,Tambacounda,Tambacounda
42,-2.03003205509148,SN1302,Thies,Thies
43,-0.228701449288309,SN1303,Tivaoune,Thies
44,0.0527694709931671,SN0703,Velingara,Kolda
45,-0.170955448143532,SN1403,Ziguinchor,Ziguinchor
