sector,urban,admin2,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
services,rural,Diourbel,164675,350663,217969,307890,273297,205082,175837,254476,441341,215723,230291,191651,221595,232529,241371,245636,177590,201470,295679,234448,221471,159109,220981,175545,391604,206409,202012,299453,169696,254142,230369,128740,227489,280430,146651,311946,201744,252850,270524,165274,239627,193577,278424,235578,107725,242192,143552,273355,227908,228835,196238,217876,121897,192341,200523,221176,285122,265093,200732,250287,141308,230315,276944,253311,282400,298989,199545,168866,194971,146054,158805,269123,220050,269433,186896,265853,153360,193796,179671,148857,136229,240865,169553,191335,155607,146341,213681,218061,252431,172853,186531,245466,195177,168327,131354,196551,192508,197244,172965,185077
services,rural,M'backe,203235,202146,236425,271849,263957,241339,187188,287900,246932,293048,287321,270945,246920,235775,215439,219447,363123,271487,313859,222874,224956,245655,225466,216986,258267,272768,193536,214297,184621,259344,240553,227104,210200,288374,241823,282837,254452,251450,238475,234175,324781,243683,218895,296050,180229,245225,213711,201628,243097,219125,230517,225511,250819,231833,303324,266294,277964,187790,324170,160900,202797,265670,207559,244334,259607,209906,159450,204190,270199,272366,258385,218832,163538,315304,210065,290794,246236,222619,228345,210383,231019,265622,157672,206153,270805,260631,271802,252211,261443,285141,200780,207972,261793,209950,217637,229322,196778,272998,243960,236217
small_business,rural,Bambey,100319,100613,106964,125895,88300,96831,93527,90694,80440,111328,103667,95573,154560,120026,110351,106048,109394,100062,111072,104682,116410,95491,136917,106979,96597,115723,75979,94105,129426,113958,95624,107169,106527,109090,101619,98517,103764,118837,105065,124451,132199,120086,108582,97893,125745,96157,116377,106460,137497,109055,110448,88384,74845,69881,111940,79697,102127,89196,110254,92624,94052,108575,137840,76446,120810,96144,85292,104677,83558,116710,101245,157221,76432,101666,116957,107900,97456,96583,83942,105112,103988,131688,139419,112564,104350,102041,85179,108770,91488,103216,91559,144147,101329,97964,103491,104316,102476,133850,118241,95051
small_business,rural,Diourbel,133664,123153,122356,110896,121293,109090,121095,131296,130843,135479,116568,117104,99566,135049,200962,130189,101966,104543,101719,144393,149656,126573,119149,145935,108790,125419,101255,113250,170215,117283,156486,130094,98862,121395,104144,144845,137419,99764,93077,119913,113145,125805,103764,86864,99916,115281,138452,126948,96064,114839,113329,139085,108252,114714,97317,146971,134840,83108,119192,109491,133115,87994,99444,99866,119814,128358,133083,131653,137185,102448,125895,140204,122254,127209,128870,105547,104153,109981,138084,105482,133570,116493,147235,146184,109033,116674,129112,95638,105243,123709,107209,127933,136998,150082,184397,108979,113096,118936,132264,149230
small_business,rural,M'backe,47715,32239,52841,52360,54378,35143,44464,41061,49565,43885,45406,53048,47177,50934,46458,39647,43751,48002,38331,51108,48681,54706,36994,38181,54141,47804,40178,53171,52506,35383,45271,40821,45318,43310,39713,42924,41898,49209,47714,47013,41808,35558,41053,48367,43776,40451,47578,40502,35698,51239,39674,44375,39278,36988,26833,45978,48576,40588,53047,51433,37087,40184,48844,47045,53920,45990,39072,38039,39043,33989,44979,45056,45127,55276,45662,56375,38307,38218,31463,48603,58040,54419,47808,42608,51487,42700,42340,42217,38711,40744,39020,44624,31748,53688,56245,52725,62693,35470,36752,53146
trades,rural,Bambey,267456,184008,232852,381069,348484,280254,216693,263904,475102,205766,581053,279475,230481,336772,499600,466916,329337,419307,276032,219375,260399,359366,255014,410833,184696,301829,441636,802772,258302,472285,395209,393442,333775,350127,259195,312023,458431,223475,292880,386248,146826,381097,318653,193845,297524,324559,458346,234395,223440,474096,288790,300437,387916,260040,376204,556977,328315,371540,330192,306375,128767,601329,418570,284375,248210,259355,314211,439364,341643,337431,493602,467486,477792,314216,768171,130887,345544,490955,199729,426666,423158,442464,447079,532328,187903,299528,388741,225513,192754,440563,404814,282588,311150,320979,250976,343601,389229,277682,345108,405674
trades,rural,Diourbel,299876,228352,192283,169371,226989,207890,229177,159861,262053,251349,279149,330755,194696,401474,278699,233496,289696,326250,262792,295063,263975,319108,220084,312580,229357,276988,204365,230962,266131,316927,232397,236966,269603,211778,233426,298807,236654,189022,276832,237529,267456,279605,381235,230780,292368,319271,344685,300116,241816,339501,231619,260431,205332,224782,197754,208444,256984,274564,231108,537828,247366,228132,338525,183434,258984,182402,172407,242556,276414,379408,214454,242994,243202,205027,285434,190532,319608,188392,234137,306069,234518,365512,220442,285628,288487,232262,332069,187550,175162,176153,268313,408608,288177,198943,261434,238472,232363,267658,212971,175092
trades,rural,M'backe,312621,251892,348435,364516,232607,224392,317525,328692,386398,342430,239002,437219,294369,368803,331560,273254,368665,299875,280684,324928,272336,291168,391693,336601,316378,256213,267703,279821,256116,338511,379233,294105,263884,415724,256779,398080,394568,253134,306509,343320,393523,307204,285102,342634,300539,301253,334484,294743,290098,376486,295290,312290,359925,259723,429370,378225,296688,284546,400820,352544,317018,298602,285470,343305,197080,268064,323040,284296,290251,368222,264738,292634,241229,294983,345291,399874,332966,246265,339842,341810,319098,292437,257293,320686,323796,451140,255001,295289,411159,357081,304640,278547,239868,360645,340618,412169,344538,350630,308797,261079
agri_aqua,urban,Diourbel,87178,96571,62534,165764,246968,53591,44538,115848,151572,92556,115122,92884,174130,165156,76390,97059,60148,135653,87856,95140,39693,76350,197820,61840,78570,98363,96818,78224,75352,55788,106025,148194,51253,82493,30657,98512,116529,80084,95492,54685,92046,140591,120512,63380,77137,68482,53616,70963,83314,54891,127331,146675,122282,155043,104666,49857,106710,78125,179627,36077,58395,106117,69165,84184,191749,82800,114859,57296,26547,68077,129379,84673,60758,61976,149347,34919,86182,138629,51097,72326,70925,212603,107314,38809,62676,77079,74414,44394,51876,224564,67237,98694,94846,175367,61517,37954,143148,54722,89630,78288
agri_aqua,urban,M'backe,153059,100001,229622,58837,225911,70260,172267,72333,90692,47726,72649,154335,73964,52460,108986,86999,57012,190147,79762,168396,79046,54917,91150,140860,108244,108979,105371,140389,64788,163373,115566,82996,102171,83662,98762,83235,113113,116800,158723,127809,292369,108002,143227,269881,110306,71152,48035,62778,97429,108893,134433,82073,42064,173316,124280,110603,90959,166245,65620,79583,151929,61633,171470,92046,76272,95916,56863,82064,56362,132129,64820,79353,48625,142140,122814,84141,93221,148322,89000,148875,108454,66220,60292,70730,57293,139396,112991,141534,55286,147286,67074,88660,76351,57159,103597,292577,36297,169945,261078,135329
livestock,urban,Bambey,112568,56253,84325,73999,88573,149091,148006,112414,69702,50211,83417,196928,138323,62130,307624,54768,88927,72142,145637,93881,188137,100140,72129,199824,54619,88561,50162,136086,126580,114451,165219,50232,124855,145159,55197,128089,28839,41443,79699,65195,119933,50017,43068,102539,67563,76519,113548,92249,54369,99057,123300,161014,31714,53816,140719,85171,47086,56240,31392,59533,82688,64508,106975,103759,73260,98040,90946,131394,75779,81811,123931,117713,107385,117237,83037,58580,71096,85648,84327,101691,69806,53858,76412,55351,158353,222422,68560,59701,72725,77350,111931,104509,261229,118844,113188,66499,168231,73000,49937,71025
livestock,urban,Diourbel,42428,28114,22628,50182,47072,42665,43966,34778,33938,34095,48828,56278,48968,37672,49577,43997,17300,25888,39955,43587,34907,51434,30443,29068,28361,44125,40971,26328,68008,29737,25398,39855,19826,38155,26007,40425,47564,35477,45794,64118,26671,36654,25512,29763,32067,41454,48111,40939,31073,34535,29724,40191,32375,54174,31493,47915,46216,26464,24523,28097,20545,37165,34916,21145,42735,47599,29774,26325,31120,29445,32544,33745,58399,35838,45806,32731,60955,31837,52265,21887,68707,46423,18989,35916,27358,22381,106880,49809,49160,35799,45577,38930,60370,50898,42015,19571,42491,29719,37610,45369
livestock,urban,M'backe,91220,63706,55293,57210,78701,20557,48814,34044,27120,52663,64670,71642,30078,49229,54876,40796,59491,78695,58189,43276,29188,81182,27848,44945,28505,54616,44575,81894,37926,33321,56994,48030,37748,85110,63584,22087,27097,29465,34884,59216,90444,40411,29093,35969,35612,84133,37700,27140,24514,21935,74062,150531,32359,85266,23129,18553,42477,80836,79192,42268,61912,66396,29616,37284,31112,31382,143803,57462,32568,31430,48258,42800,52092,72717,20074,50097,53551,24773,27866,40932,39232,46887,27182,46751,84524,89288,37979,66626,53203,54685,111498,56920,37069,38044,69126,71698,101322,19444,29093,49538
professional,urban,Bambey,476553,436663,469822,662979,673770,598971,474952,374493,695342,984528,738495,503525,522506,327565,506105,567805,791560,613566,900688,659171,891508,681626,604102,594138,626049,466145,969004,568644,592051,760372,495092,779825,733043,499739,380452,602075,423921,837129,501333,392339,485036,888629,569507,671391,572791,984791,540374,957468,463293,773495,544631,780743,983855,700708,821334,513257,567120,318103,418421,610060,460111,471105,449437,854800,851431,858708,507834,579834,446745,554071,512088,571345,706469,443107,648333,737754,842505,632404,616285,539587,443386,678212,686104,558485,544673,646420,551755,525590,483532,515316,401992,498525,541729,743893,514986,748011,543492,380106,586019,597850
