sector,urban,admin2,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
agri_aqua,rural,Gossas,187201,133260,118329,140273,103351,117564,200691,109120,128181,120589,105068,170237,95668,189415,160154,182020,119629,147393,85444,160794,172004,174513,164457,111962,116063,124569,102537,82714,170046,113535,133590,151875,114654,189157,138582,130004,109332,137858,133591,101622,143962,160908,114408,180652,122788,118548,95366,98081,115641,84243,94340,73179,123221,129255,233405,169419,84703,221708,106526,151215,105257,146683,76541,97712,216025,63294,92811,173668,108335,213515,148814,177843,69131,79020,156441,129105,110613,146979,149056,176068,97666,120736,143127,92643,115026,156316,156878,120967,96327,148854,111007,198716,107795,86113,96893,160515,112137,244510,63590,145993
livestock,rural,Fatick,10518,19828,21494,13845,19286,19548,14191,22456,17406,16155,17076,15886,16237,13586,20408,12576,18892,12639,16193,19881,16688,13643,14319,19618,25618,19858,19468,14196,16371,16617,19420,14947,16609,14242,14206,13664,19832,17853,23784,17209,17868,18535,14154,17231,16995,16567,15663,16038,21894,14665,17151,14656,18632,15011,21169,21550,13610,20143,14466,16593,17674,15557,20206,16605,19464,16421,16651,16960,23773,18455,18265,18965,19192,17519,17239,16022,18610,21850,16558,16226,21870,16453,14427,17287,13256,17020,16223,20314,15461,20123,13682,17974,14259,11934,18863,15237,22763,12596,16780,17063
livestock,rural,Foundiougne,103368,156307,95122,328910,72526,93378,78415,75164,104750,123485,143599,132178,150684,186616,92681,122609,186042,95071,170266,81676,143681,122076,112668,152409,119109,147844,113043,81253,136957,155780,127082,82954,97596,93138,69094,83750,192548,164231,119927,109327,128753,118673,76281,133517,112198,48342,137962,96682,186646,69664,111443,166603,83764,134194,83039,108090,152886,124466,170560,103368,101988,185808,67865,134019,70266,101995,132188,210620,92113,86225,100317,70266,155411,97118,102144,106038,122664,91664,97045,114885,101961,136890,137476,53008,116909,118525,155247,150345,114053,61367,216544,97868,133903,99500,212220,107961,153201,148579,111782,135727
livestock,rural,Gossas,27200,23359,39969,16030,43469,28580,27491,42483,38926,40136,28204,32351,31591,45741,45327,32700,24405,33921,47114,19850,21136,30713,26382,31627,27979,29929,49640,28400,70302,103870,44925,27740,33216,28300,24078,30011,20597,36031,37122,42533,39580,82425,34788,42564,29926,49336,41230,34644,20168,16306,35874,19382,38274,19825,58492,36033,21408,49072,26825,30837,25095,34321,31041,36292,18299,39176,38385,34379,44523,21131,31709,25919,29370,27055,25830,60700,22085,39601,34185,22291,25543,33811,37480,29077,56646,28907,47194,14753,28713,33298,23244,52234,56585,29705,27108,38947,23798,40991,26894,66170
professional,rural,Fatick,427966,472887,261570,500435,537013,337860,718868,379874,289279,709060,372672,723415,418473,545369,479258,435373,550557,419997,453418,608291,602147,465117,471749,354086,307699,304163,418900,357639,399239,446325,412941,485865,437748,519077,412742,523934,601750,633706,471518,599353,345370,381125,403869,265323,406938,251204,595449,494170,397922,503035,454231,419566,320611,471619,350416,448201,393762,271036,365480,797900,361361,330772,399936,363825,370768,613170,250496,439709,469625,295915,727939,308889,427733,586617,448036,406845,430428,386449,625817,500576,496406,363176,449844,534489,492457,244901,496233,399257,706508,464760,325089,517511,666904,322031,432911,540754,325278,432352,378988,567963
professional,rural,Foundiougne,486569,301767,296227,244525,436179,387937,487820,413076,423888,356344,396010,347903,259343,403257,298002,445261,373344,363281,295956,376994,305657,476744,275063,336693,437779,355290,436800,288219,385138,396196,202856,316985,304429,416547,227409,280506,338777,386111,475561,469350,372446,236471,302923,395533,354138,404217,472420,412020,563210,278682,474668,343836,369586,552760,451763,249558,281624,309002,271178,242067,434833,298728,508243,326520,507729,318732,401242,265175,224980,399822,378773,387602,446326,380743,408117,485084,289928,282182,384708,319268,365097,466047,452858,410714,332881,469149,455775,249394,447315,376026,386938,425941,392990,354873,372190,364696,396163,364220,390293,253630
professional,rural,Gossas,613406,478009,463957,431479,439388,348445,497496,426172,587158,289652,437818,381962,510487,884169,642111,486324,388630,395125,395185,555165,333590,401021,268778,389736,591766,596575,336833,740025,853503,401804,558904,390702,858393,234302,447119,602295,717808,493722,955328,474060,583922,457454,404297,405091,480181,414710,430551,356625,422380,352645,534426,426836,577371,530523,613684,538417,358878,459140,417039,533393,435881,616586,357351,368057,355244,502057,272575,408295,651966,282092,583502,358047,267443,384643,276499,622769,385711,322536,390891,541610,317845,630784,492438,421102,399202,469685,374473,277120,475631,342390,522030,525615,413024,576400,311175,583214,561388,277957,545907,403329
services,rural,Fatick,247931,214182,127825,284261,232877,264150,232398,264838,261587,275347,231368,168568,290722,163349,182737,170325,189326,192632,242065,224066,214673,226040,256348,285812,246650,218276,196274,203387,172325,252419,289076,279632,193669,169672,226481,291373,228130,224317,235189,208478,272038,253988,218499,236362,131150,189507,213015,286399,273590,167028,176749,247850,215913,153066,238513,314447,259232,167305,222168,164126,186052,235356,177201,197161,204083,191902,175748,232586,212204,245683,250634,273984,222347,311580,177923,312411,176138,218759,180705,250404,186372,192633,172158,250366,236050,200765,218678,216884,199939,155743,172262,189563,205648,208476,319010,198841,259002,206668,224779,228516
services,rural,Foundiougne,319001,268146,338677,396216,268891,337662,264399,316994,335268,295002,292052,324396,308986,464696,569887,267267,393731,440393,309378,289642,291310,368146,331112,335862,326708,353236,308100,376888,313728,364638,347269,365083,289785,271271,459904,287678,458226,325877,410415,258783,310973,388396,403672,334439,376607,266509,375356,328273,390994,451439,493014,367944,277746,352779,383877,372342,386271,324277,279440,584012,282693,317204,288194,328454,382180,262253,254046,275561,366069,349088,348281,393728,412125,367798,386487,392859,387810,386993,430672,346584,325142,228890,330927,336973,308698,280097,309588,277456,444321,342600,297409,286317,313630,331923,406352,439992,322621,430816,355362,465994
small_business,rural,Fatick,93459,91336,93591,109010,83111,79662,85920,79184,83911,94231,89501,94725,89821,93539,88928,75753,131621,84158,101490,75333,96374,96992,86544,87032,72423,75439,88876,73285,76114,74356,77616,69269,84989,76716,81089,85925,67624,81277,97067,80659,101835,95426,83153,64665,100719,79535,64962,81840,67372,93323,66733,63987,91995,47845,71097,75147,96677,104336,84574,95142,91877,92308,75552,75049,85469,65059,75323,64288,79004,58347,61287,77454,102420,74999,92242,72742,86356,52913,82856,98127,82194,93493,111881,60961,63354,79213,55767,78082,79544,72524,94650,96861,82881,79649,102778,100041,87810,88617,95776,91551
small_business,rural,Foundiougne,129923,137776,138586,157392,91224,129831,136372,133296,146497,122727,109322,171300,148201,130033,158410,133813,140339,138681,130011,132472,129500,106196,130626,130567,142097,129891,144542,166101,136399,158396,149898,128240,128740,137105,161923,113172,148988,175636,151660,138271,146932,156020,140659,142449,137732,133283,180278,130768,140838,115941,163661,115745,157509,134488,135811,159963,135243,128205,161383,150778,107954,123525,177709,144116,137077,145625,141680,171331,139475,142514,125938,125353,149113,147232,136376,120071,139875,151164,114814,124609,146930,134213,156818,147365,139264,116310,125258,144703,135455,140688,142286,129122,166231,96696,137460,140071,133531,126491,123638,138669
small_business,rural,Gossas,147431,130263,183257,176514,228199,157225,217194,190714,141848,233792,145877,118370,282884,160845,171778,268802,164754,165006,283284,152152,156161,107330,234407,196400,152888,168726,203178,145121,131169,154760,158283,217900,135770,135945,125983,188861,189469,218078,103186,137093,78514,158330,178928,206709,139405,166382,189506,172690,160273,146980,213259,177397,191791,190020,110818,197776,179633,202585,139604,202128,215722,191096,166996,236007,187801,173128,101193,177705,154445,163552,82570,187423,194840,119381,232032,217052,169362,171908,146645,178378,143937,136739,175669,133400,246214,146211,104387,127016,121747,151169,205929,126279,259175,185729,179816,148071,132964,144272,200561,183295
trades,rural,Fatick,232049,162170,293854,285200,295274,228901,264105,164208,203128,201161,151143,174089,210646,220371,110703,207681,196104,196268,236690,191796,186769,218252,215457,263705,328715,184864,156730,182884,155692,159515,191305,128068,179231,190158,216131,185917,252848,276924,173870,266203,239870,139965,230789,205272,372717,207562,214421,198924,193542,193219,215017,199273,226269,220771,224015,161586,149676,255721,238472,173144,169618,222990,188342,140369,202408,178748,220161,185792,158011,206643,200672,186486,171868,157530,173403,220136,241087,208534,208918,131824,216043,298218,222122,133734,201357,175837,254343,240958,187445,191384,207350,204595,208789,168598,229907,209317,162926,223286,153297,134316
trades,rural,Foundiougne,431547,624377,447146,394539,463418,373434,375066,425699,364843,280351,566059,531030,308973,386155,434832,399209,480857,464955,315554,394408,369015,471341,574476,350475,442282,374759,444578,434031,552448,341045,444798,369313,414279,333033,395139,398011,398203,455367,370783,441927,360073,477398,412802,372331,516720,450758,449571,288770,318113,305165,432286,437682,353060,295816,390646,301990,296513,415683,370678,595781,522680,362918,402341,408366,329380,386425,369077,359652,464597,442789,393645,495479,493670,341237,283087,304934,291489,399232,393424,365406,367452,608983,522774,578971,458192,515699,402019,413465,401420,410065,269201,403724,416074,388390,432236,348995,375065,428365,461978,367428
trades,rural,Gossas,358913,288436,240120,279337,242487,299821,399385,658033,356794,186581,326847,298623,303588,273238,348694,241870,796739,563310,349876,395583,183320,395449,281222,386582,215132,722863,257575,556376,194364,234827,136228,165119,185450,333509,188656,357953,425230,425361,239031,358871,329589,299362,255042,454404,267540,224091,334963,409441,376990,382965,359173,584585,274802,337085,314768,273575,385191,250526,284650,238355,368921,250676,394460,407160,332450,208205,222090,169411,172972,231153,427386,382306,555357,242728,477780,158473,327996,271451,263954,342757,369480,269606,289041,405812,362356,249285,356264,215307,312086,363456,258581,231468,415583,428216,555328,254536,322392,240735,233933,488258
agri_aqua,urban,Fatick,50143,32994,118472,139048,54803,90198,80054,94814,37579,78481,90600,79228,37692,137400,53922,69361,54882,85320,58566,66119,71613,57470,83272,58439,38232,90885,38815,51052,48782,58086,68205,84471,98438,103093,23449,59362,60201,29163,84197,86382,67297,60212,95230,102092,24697,58754,67124,35380,126640,89772,107707,94556,68646,92652,133213,67988,47486,87653,66800,99165,60382,51115,119773,46754,59002,55816,98354,170845,97994,95109,125236,69403,42880,97121,60762,62696,54869,58674,52833,75733,70706,69338,58905,62345,57959,188599,95703,71061,54478,59218,80203,43932,106567,164861,56412,90779,93906,82817,102371,65124
agri_aqua,urban,Foundiougne,132459,120086,120931,142474,114810,123202,134282,109569,98901,122707,233920,158116,113084,121811,111280,191955,110967,159321,101277,183538,123038,88007,133376,118300,110056,152485,113767,142611,105382,159716,127512,143006,146306,136995,101808,141837,114781,96668,95618,88601,180699,132879,102200,143997,112663,132396,143593,134257,136083,140314,136730,107379,71159,88819,213572,149893,173992,224345,113142,197549,138090,148362,152874,156610,221814,132881,142732,113201,182362,129918,103039,155777,109255,117350,131286,109704,158038,116670,149760,79984,203659,201933,118498,157936,95434,141790,94156,116316,94028,123462,84513,183875,149781,200830,132186,208225,128786,140400,120052,120454
agri_aqua,urban,Gossas,58993,78360,34720,141053,30322,78999,26651,19126,52179,35542,88796,79703,96340,59373,51260,164981,65553,59326,64234,157719,46646,78000,86868,34027,50448,170451,78586,43280,34360,53542,85435,60791,59708,23193,44491,41710,32776,64375,102023,37467,45044,70199,25470,59157,93126,88601,43195,35431,128156,31402,77055,60972,50607,71897,83139,22093,67954,132237,28729,112120,32010,104290,78875,169722,45021,112087,37046,44954,97661,58406,27191,42833,101011,55704,25495,43751,84980,53733,39697,49470,49621,84193,160241,130847,102283,81206,40443,57295,48772,27560,130633,53479,50284,48127,51865,46264,30275,42746,45129,98320
livestock,urban,Fatick,59374,43439,173100,100653,37234,60909,22999,76223,56484,58266,59102,52123,44975,38048,46711,88565,102080,70388,61026,29126,59531,47183,52436,59699,44338,40497,42235,38321,115000,42687,87997,36439,65863,73260,63308,68044,186138,82093,58316,73755,91954,54796,61231,72305,55028,87020,52856,50721,84109,54013,109712,90251,85601,88537,100427,52753,64278,82009,127792,53903,124397,55447,79996,95860,61170,112904,46584,74408,47081,63597,98803,68095,58328,72969,89128,52105,81115,55150,47079,96336,55631,34975,95485,51684,41383,65778,60164,100666,64376,70336,53742,43634,83741,53844,55515,83612,85359,71001,67276,85606
livestock,urban,Foundiougne,37311,25560,30589,25885,54793,39748,18291,37508,65645,20019,31384,22716,16148,22467,31347,28551,31397,27743,24449,44482,26497,28487,40679,15192,40133,29442,26624,28767,30744,30950,36531,36280,17590,34793,33749,24443,33555,47988,62238,36092,45669,27470,16282,45920,23783,25195,20504,29796,37200,60977,42646,21879,37873,40143,37955,33768,36197,32847,22051,38033,23968,46667,39908,21057,41235,25089,22246,35353,23432,38382,32797,50791,24248,39998,20385,26323,52291,46455,45255,29514,30332,38386,23454,11977,21984,27500,35126,38677,38011,38039,44803,39978,15327,50128,65226,45901,42496,30903,20731,32060
livestock,urban,Gossas,40172,32388,99287,13727,61749,62670,11082,105975,48445,25104,65081,45323,31429,57598,42023,23376,71868,49340,20094,43673,11844,73839,22960,27900,23696,86534,19236,68175,62467,15196,27880,29617,31080,13633,39573,105213,111894,38148,27146,65368,30743,41578,29125,38200,51561,51544,64929,46835,18881,28293,64253,45568,38130,90968,49373,41033,106731,61141,54533,35355,29031,39598,55052,56134,115568,18643,37539,35920,49984,40368,46677,36799,40345,16278,31246,50369,76806,41969,96787,41434,16344,25750,68691,43378,45769,76783,97465,60604,49106,58855,62719,38037,25496,49509,96317,26130,114550,41839,44337,15797
professional,urban,Fatick,1334169,1263701,992327,1268364,922465,816649,1009860,1229161,886696,970878,1193953,1336302,1399176,1337458,766628,981533,1259445,782584,865840,1708667,1192765,781368,1370967,918991,971046,963583,1268672,1041568,878078,887500,922789,1198606,1178914,1208792,756555,685990,1269120,1019889,1002448,1122882,1038063,1160139,734426,1050600,1301317,1048835,1095748,1053647,909154,727494,1330731,1134727,1061961,1163460,1079478,940933,1005983,968112,1002512,1086357,962657,1061286,1022814,919987,586428,1214043,1103413,1010838,1119001,1143617,926894,1134333,1196265,934888,1026595,1204112,1161352,1065532,1702815,897202,1023135,827741,1093909,941459,1202956,1200671,786097,1352437,1135691,1052064,785108,1337332,1151811,818754,925425,1250161,807423,1334606,1057765,1072824
professional,urban,Foundiougne,717396,706062,610547,722805,853795,645068,610982,667404,866243,663056,695342,834616,602594,645483,582688,746497,634078,794084,718511,801691,677983,992891,652005,781379,649351,629570,755668,771591,815384,701985,621686,566684,811363,826253,642022,499256,662252,785248,848120,768984,736084,694734,781880,992973,471014,584826,709479,690080,788072,938482,730565,670630,735202,792907,706296,788779,577780,611327,824049,588308,669633,574657,647493,503498,691276,703900,793036,699396,534972,746392,862730,624187,584184,649906,825184,650073,731164,755712,695226,690690,743079,652876,808104,735573,605298,589574,661427,596985,646276,558752,757248,673390,654187,886376,728447,577043,835625,679990,818487,700103
professional,urban,Gossas,1386379,1295269,1168025,1311114,735767,926506,1304956,1203823,692310,1036236,659498,1380265,1095978,1028190,1482294,1214311,1939844,722073,1422660,1129236,900508,1126138,1566791,2012074,1192369,1430538,1029287,1073357,1454785,968291,979554,803676,1079519,1052839,1026338,1790947,1317524,917159,1458685,842905,1182720,1442260,821546,836038,867078,835982,1328059,897693,1226196,620867,948950,895030,1686312,1045047,870537,999774,1015665,1963083,843305,929307,1236155,1149875,1022560,938218,1397341,542016,1024683,1303558,1060428,1198571,497371,1113997,634904,733289,810272,736478,1038534,817930,1082198,723269,1261482,920708,1060120,714546,927369,1293580,1756207,844579,738472,1230486,549281,1061142,1065485,1090401,1135679,682940,899791,1124887,874981,1118471
services,urban,Fatick,315687,418967,390685,291292,366263,310088,370439,302642,302437,315787,379323,271951,358486,286917,344511,278090,287660,339050,289706,321018,305659,373626,354310,308060,283585,262407,440289,397010,242883,262006,298600,239003,321362,238106,287228,266976,232686,303547,325071,270773,308460,394004,305333,407315,331918,341992,365258,262405,302357,368705,344917,324550,282163,246616,328349,331233,259601,354214,324325,367550,354271,308379,303299,368794,418553,403286,357197,364021,332008,318291,266879,403224,425094,268429,343444,338005,336761,278115,315015,337717,318017,383491,317898,285709,336415,254187,301234,413686,379341,363488,329113,320277,360318,350858,333166,312671,398306,296704,337727,386674
services,urban,Foundiougne,417911,354226,331228,498995,362959,358207,417579,420226,397403,397475,566977,510642,527942,413280,374401,368733,454758,418567,320003,405312,444627,368764,410937,534677,504969,604260,367617,416233,434372,434667,517808,495071,389424,348069,391006,465164,426933,535855,507569,418615,460252,311726,441766,293854,666182,449154,409800,488820,392316,564480,455220,519635,407308,501204,398370,434173,325507,354128,485700,294743,372422,489763,610203,445708,415702,512827,497598,417886,493184,431142,498366,405666,495442,585135,583054,405401,610734,514536,396213,430501,443877,476371,625893,524790,329749,556050,376235,420532,311375,367694,541117,358669,443502,364525,322826,425827,531800,380992,354020,530309
services,urban,Gossas,483425,463546,471285,613024,327735,407351,396860,390410,976165,573792,364638,280367,376020,293758,428317,726230,398184,346553,305345,438327,616162,562816,395414,487639,469881,576891,715628,254859,304388,630620,707308,337436,564816,568847,380822,843228,397327,312321,407403,672669,620965,549740,622317,341432,303318,428081,517776,546192,884217,598466,538044,560327,778520,326686,797588,473344,551136,487936,595506,493606,422593,715783,299696,763715,487793,338570,521501,651935,634408,501647,883847,652855,534448,677042,515816,619877,591392,613780,520242,572711,498373,515315,757510,438727,635547,284454,446342,331796,366390,462325,257664,250930,288312,467518,436474,696034,357189,576426,295615,491227
small_business,urban,Fatick,113262,116086,111474,128708,129971,155100,87877,84582,126399,100578,125447,108408,120653,156028,97431,110393,83129,122151,108344,133998,128665,125179,123759,92056,113288,150145,139394,137639,96548,152090,148062,88233,137131,108661,124938,115339,132197,97174,94948,137120,113579,123744,104149,136486,113920,141482,112916,113580,120777,93330,94969,132833,153191,104238,124826,108903,114888,101866,100564,134548,120600,114442,146331,135432,125279,121843,107163,145953,111171,123138,132987,127692,166105,113249,99701,109328,103921,132783,145943,106703,134749,115623,134404,91065,122565,122241,118102,102114,142386,105154,140675,123332,129453,123618,118235,173968,152700,104036,149704,105533
small_business,urban,Foundiougne,232420,172497,144915,195673,156013,161566,169787,133112,169307,187045,188268,242646,188253,197913,175201,178500,172477,185936,202580,204543,214513,191453,194182,213637,154255,206864,185752,180883,201527,206600,178975,205936,193636,190791,154856,178650,193711,206581,214811,173157,184639,206888,234130,155222,176653,258202,155852,175592,191114,167985,191638,190553,201769,239582,180182,234151,184604,178916,178337,191565,213041,172269,183800,160282,188881,173091,190526,203273,150191,188889,146606,186481,175670,202540,196242,195674,190488,158324,194259,158273,180464,243632,172985,182461,201082,168403,207010,179233,227056,197920,230089,177200,174614,179009,199383,182363,163952,146999,170551,233460
small_business,urban,Gossas,232144,252831,262265,322422,264584,289475,204848,244864,249931,267519,221261,282513,290752,362307,279916,274006,307831,247846,234202,248241,250566,188465,300843,183232,357609,171243,213642,296773,148457,245543,234840,255632,263183,187652,381029,346267,257695,323776,243476,143299,369608,235521,286357,171710,237237,290288,331120,332447,333540,205232,348234,309350,377634,320972,302915,137319,291938,230124,284038,220457,298787,152027,369263,256977,255646,341679,167151,207752,270946,302882,175012,246675,281045,318851,245698,248686,212805,343020,307975,144881,253988,399388,124261,296420,193449,394430,341129,162892,262324,324231,224717,208876,170344,281598,187781,260707,303657,245571,289751,284370
trades,urban,Fatick,304518,579196,500948,270640,250175,215636,332218,329234,263970,380360,523470,297412,452867,457038,327342,458473,491782,343796,216775,400505,515122,241151,457407,215166,409621,176460,341866,371393,247140,311157,420857,399119,305761,756145,281006,175334,241394,371876,426275,201754,534844,361281,467515,388828,368178,192427,314839,257589,271270,455943,362323,249785,305387,479915,246758,193324,349893,282874,428933,269894,297856,307766,579453,349245,290520,217157,222063,337036,236215,340039,341580,245471,523328,504961,376066,350470,343243,315290,195833,785337,291507,375843,198827,344588,192283,509790,298318,262266,468386,396217,280600,275778,202794,345306,436845,204786,469148,363534,327809,461171
trades,urban,Foundiougne,256926,265948,463982,269879,350674,335885,257747,277066,434001,324500,229041,557952,334632,253248,204180,374739,360750,288410,244533,227868,321870,400141,370634,420848,392758,294638,309817,344684,368555,399218,495664,385195,222107,300551,221256,277808,338630,491837,414701,517639,342623,401418,396451,355836,460963,342411,316261,234799,288125,355198,295077,158771,312707,362816,387984,266530,421871,240847,378401,187928,248996,278403,230862,518551,310324,254873,449269,253069,261780,380594,369886,201299,379491,294678,591264,291822,277238,265051,311929,339473,249373,339592,445416,545861,415064,334255,303959,366177,458846,361007,283670,336515,379294,475955,304511,303959,345284,481700,283180,340195
trades,urban,Gossas,627746,1064197,622415,740918,1051887,959271,662800,610870,1107391,656331,815043,712337,1137967,409316,494470,789115,493098,544045,495470,1029794,669103,641115,646735,517202,597218,419860,290555,530993,243205,714178,684083,1148296,625419,586236,344839,474543,786351,396353,875853,639131,579517,575171,741843,532864,400154,322103,194612,278558,455113,910294,657141,1063235,590117,402872,852110,428067,488685,626103,627429,523934,660108,364334,895414,363189,616173,569337,262908,468216,715122,862803,849513,614758,694361,572210,572835,496464,432032,651443,563595,570144,542593,576543,373464,670414,727236,846343,714987,580879,936412,668562,404457,387235,1061204,307059,694901,575576,730963,874412,336488,799193
agri_aqua,rural,Birkelane,68958,70122,114597,86843,113126,89845,116460,101476,77461,133261,121375,124206,96737,88392,77298,107842,126190,87407,94745,93446,126502,91036,87178,179434,84099,129201,120654,78435,92917,92171,137361,122940,92976,95765,95842,75868,102947,99856,114288,110117,103232,75143,156870,126364,82140,85166,107229,90106,127013,161129,82753,114199,90469,112770,109683,97339,71967,122120,103574,80961,87238,116644,96748,135204,80809,99825,103475,118457,128637,116328,167946,123565,116748,162944,126252,137936,61193,63182,107859,133096,141826,99677,86922,126263,118492,88263,85633,104866,95854,58486,84212,100555,127319,116642,97336,90027,109838,73382,107892,110901
agri_aqua,rural,Kaffrine,109305,129937,127859,150079,138077,125317,121423,118951,146797,123638,134513,141710,104052,170401,138525,161025,136151,126732,118659,121215,138674,168969,130579,125471,135084,139918,142261,141641,171549,147238,130164,160368,141529,91893,147742,131468,131371,124103,148304,120153,164619,150718,128929,143162,141981,116635,94981,145449,116433,118912,121210,116756,129927,120250,116177,132278,134565,125435,130456,145416,88926,159192,137250,139090,119633,113205,116024,130813,149064,117368,151710,138740,154909,107950,139924,95200,121766,123505,113806,135288,102653,118779,138733,112557,96707,123044,125551,104840,132864,117964,109551,114136,158915,110314,146027,158768,116246,124201,80659,156963
agri_aqua,rural,Koungheul,69830,76291,76183,104063,105363,90002,78066,82636,90909,70470,75807,85643,62877,63236,98323,90652,94147,81657,66196,66131,107100,81486,72667,92847,70299,67721,106025,88901,65489,100474,72536,97476,86624,76770,72274,90951,100967,64875,82483,75020,87002,88100,72473,90205,76075,99271,78169,62729,64186,93268,78709,86241,85258,89462,80708,93476,109450,82188,80854,103209,78107,87616,71553,75078,104986,66737,84850,79464,93725,85899,118897,81337,70513,72529,90284,83411,114316,91686,76623,94516,52457,99921,122376,85708,65351,98455,70208,69866,108176,93234,90340,100969,87493,71656,112366,76448,67524,79023,80652,91617
agri_aqua,rural,Malem Hoddar,149169,114648,108482,111401,107004,73516,110541,131305,73311,78036,88662,146630,97773,115084,69367,91762,121267,52944,87636,96323,124892,100406,100146,125348,80287,87121,93675,106634,69239,77255,69562,106956,122481,79677,108630,92860,117711,60917,90075,77263,104592,112112,63953,60653,96942,103902,61655,161648,58782,76800,93017,96060,135729,77351,98932,102714,91030,63930,147975,93584,95067,93916,79972,68583,110638,62699,112849,63474,59909,87260,108307,71294,124036,133281,81857,70544,67847,138255,131628,94552,84503,67185,117055,114487,101139,102443,88059,69101,99235,91529,64498,72830,67041,122831,118351,99133,115787,133487,138883,71302
livestock,rural,Birkelane,43170,27580,55886,51269,67204,69155,52567,40658,30582,40805,52427,55762,28572,56662,41362,13417,42887,42306,24356,44068,48806,33494,64643,42169,42375,34309,30043,17180,96211,46438,35281,41394,50117,39341,35366,55294,39352,53283,33778,37472,32971,48989,33023,47330,28749,21081,37755,41747,25835,31261,47791,41969,30969,47365,88096,37699,35912,82417,46294,53104,46950,51634,20570,44457,25914,45916,24685,37804,41188,33960,36371,73961,37398,39588,41087,76812,39397,40376,54064,36022,27679,63104,39703,62685,40102,43174,35199,88892,23554,54515,20433,24073,28248,64782,33785,42304,44332,45032,32773,33688
livestock,rural,Kaffrine,20625,23427,20990,15343,15784,29415,18627,14779,18239,21598,19801,12610,19210,17841,17843,12465,12283,24585,16609,24140,28692,20675,19071,29998,26379,16832,26512,20677,36874,17698,17662,20930,22132,14773,18115,20454,19471,20983,17622,28612,22836,18776,26084,19207,12829,29329,27842,22237,18835,15391,24958,20825,14585,23202,16076,20195,23056,21387,31817,18535,11104,29829,27915,19706,17809,22658,22285,23400,19693,19580,22520,18554,26490,14855,14057,22561,25269,22793,20929,17733,21242,26206,22117,15891,29034,16411,21312,25131,21035,19272,17224,19733,15068,15213,28679,15845,18259,16969,20829,20701
livestock,rural,Koungheul,28278,28215,39625,40798,32389,54657,28758,51704,45388,31399,56477,27086,40977,35298,33290,31379,27052,37784,26645,28796,36535,33604,24484,37142,51810,33441,34276,44792,33856,37778,35549,38572,39722,30749,39039,39348,40769,40535,36266,36073,53028,30838,31286,32556,48061,62349,37369,25337,39838,27609,44134,23006,50011,45016,31461,28120,25554,24784,50007,56425,37748,28502,55190,35547,30555,31344,36607,24908,32238,23922,42475,35637,28420,43308,44227,30776,32939,47665,46355,30255,34285,27440,29916,41960,27654,42547,37954,44504,30791,40441,48995,32002,35035,40935,42713,26487,35273,33656,42644,41348
livestock,rural,Malem Hoddar,30478,22651,39394,51865,35807,29984,21858,25673,39218,35331,37767,36029,20557,17263,40423,31254,37832,32685,25884,30067,33538,29341,19078,58909,24189,36272,32049,27890,40459,31791,23390,18004,38770,20198,40639,29692,24125,50949,29834,21978,45708,49799,36045,38378,28297,24437,16610,35422,28809,25037,29217,24316,30857,36505,23927,39137,23254,19582,39215,35965,30083,26862,24554,23289,19592,27906,26922,25218,24890,24720,41517,29874,42355,22317,22991,21987,26279,21216,64717,20104,31103,36021,37302,27530,26856,32340,43106,41972,25981,25311,34961,33493,29336,14111,19189,20145,36862,51922,32877,43604
professional,rural,Birkelane,460602,265535,482328,679852,520007,438944,488940,484350,280037,772057,507253,214585,617429,598276,361941,347713,576153,503867,374640,337485,674593,398144,761565,390310,354009,565049,668820,396631,874245,343654,348072,437688,630524,456799,223293,370048,509634,442767,413971,509400,786231,324303,279994,647487,725914,1046616,412515,377392,452824,398472,655812,263591,334763,418028,375799,517613,317233,475873,325819,356338,448925,691810,361940,832671,406488,511730,598058,582423,632755,322620,343604,574703,541518,439532,476693,573209,639744,281001,551401,785397,403301,783374,584042,596831,335556,491724,731160,749830,539362,394016,328883,392479,517892,381859,716241,400077,308648,314540,529851,312621
