urban,sector,pred_mean,pred_80lb,pred_80ub,pred_90lb,pred_90ub
rural,agri_aqua,0.2158261166875958,0.20817846354195368,0.22317595503623547,0.20624247179557847,0.22572816242272364
rural,livestock,0.18957373954143591,0.1829440458433537,0.1967057959247624,0.1807778042106537,0.19876666423978584
rural,professional,0.08158992716054421,0.07656828367404457,0.0868505677008015,0.07530297859730332,0.08818769280504073
rural,services,0.05241339574767856,0.048649583609547624,0.05645089378399684,0.04766516193012865,0.057692261498577445
rural,small_business,0.35529535932249573,0.3468734464960982,0.36405825809079084,0.3449586943424943,0.3667528824320409
rural,trades,0.10530146154024979,0.0997098241622867,0.1111067511252255,0.09831798367867133,0.11274888759703146
urban,agri_aqua,0.0358700001846386,0.03316658403665119,0.03878031611432588,0.03244444230773423,0.039636761695317546
urban,livestock,0.03862316970240211,0.03554559300692405,0.04170890693177644,0.03497568755975057,0.042511313218174904
urban,professional,0.22393048946635702,0.21718897019632108,0.23046808011586808,0.21539329114713243,0.23264293577994113
urban,services,0.13732372666024517,0.13179033118858308,0.14313198163492966,0.13020874394517426,0.14461196614629407
urban,small_business,0.44788741171632696,0.4396551297758219,0.45577556074482206,0.4377539024027729,0.4579541750373212
urban,trades,0.11636520227003015,0.11123328634203256,0.12123684340184687,0.10989458132511482,0.12292358100476451
