sector,urban,admin,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
small_business,rural,Saraya,161146,154841,152496,138135,166883,166519,148464,173361,155603,165247,159378,187699,125029,163222,162359,159594,149689,157054,183823,176327,163156,160281,155889,157521,156502,146588,152201,203630,146239,169769,179227,169194,167867,184455,167284,139005,151458,139624,153471,177903,170633,154913,173104,136942,170248,150121,153270,198882,150574,164182,174616,180131,161887,144359,193135,165850,132218,153988,157126,173087,192295,163172,136210,168449,163382,168226,175414,167947,181354,156684,122076,149933,182133,130728,146338,158441,165478,180461,173711,181513,170968,149420,148672,156811,165269,148008,164696,141520,186996,133862,144819,167891,145489,136953,136588,146937,137233,175771,209051,191494
small_business,rural,Sedhiou,145583,129080,194119,193588,162547,198734,156504,147491,243822,137302,169622,205656,191236,236683,143860,132322,192988,193956,140944,181720,242881,269270,177391,186030,217389,175468,175111,161291,180384,170790,172303,171006,188548,200166,189686,256542,266878,184487,152078,167065,156342,175470,140643,196083,163684,193954,187168,216184,186442,257799,204632,162150,173210,184300,158409,182085,208874,198568,228119,196891,153825,163960,148764,146255,161867,162834,187366,203119,172481,161545,142637,225941,166181,179603,176859,143328,227818,186388,228096,228378,189322,151454,167327,178172,141611,209632,185315,176374,168989,136147,153651,190764,186314,179524,186434,160261,140997,198763,187792,195052
small_business,rural,Tambacounda,142205,172789,154937,128800,142694,151741,175473,194970,184857,167296,175622,141042,165071,155855,172402,171181,162249,168443,150399,121010,113847,210458,151112,138805,132850,138157,171286,152068,136661,164713,154558,143401,194050,148740,165740,145659,133342,162702,146160,162466,125233,181361,190796,134368,146334,131869,146642,160935,148857,150864,127792,152929,140292,186880,179231,153184,147503,138797,155511,150730,113449,172426,144717,141619,167681,145026,180207,129815,148206,148409,152867,166758,164624,168801,131838,201409,140554,146563,140486,145312,121126,121568,139281,139777,140582,129089,140588,178217,179118,130773,153817,151755,136417,147791,155457,147579,140953,154994,142083,166092
small_business,rural,Thies,120550,131247,172329,143966,188727,145098,148791,151422,125291,103424,152460,107543,159953,180390,154871,161189,128125,141038,136378,152741,154673,199644,123608,133215,140878,181335,132121,120445,137678,116896,125851,116734,153471,203934,139707,165180,193916,185596,143002,136002,219272,186799,154397,170109,229517,165567,178585,157391,158050,161487,153610,140284,157380,129649,178095,133074,152668,160364,130088,129732,171291,185999,189709,117324,174565,142085,186602,196016,138384,135507,170752,133156,148166,170662,211285,142277,169373,155589,151158,150473,127202,171928,137511,158180,139861,167675,121281,124392,213652,163381,156085,194815,141621,137692,132587,152256,162400,143271,130278,151806
small_business,rural,Tivaouane,166110,201320,161534,180272,166719,186519,156186,178053,162585,160352,191251,209160,168709,202235,239508,202452,158504,178085,137750,171103,150672,189407,178884,133668,189014,161776,218255,130009,191280,190235,172984,192880,160620,167704,138035,189645,170828,205750,198314,175964,181698,182383,150074,187496,154706,173333,214269,264138,167853,186988,161536,194157,179249,130742,175283,195336,189627,230111,160795,138574,186413,160596,170428,197371,162563,214988,167597,150638,178082,187388,176505,224485,200635,189822,177074,212839,178824,186316,203662,134763,124364,189134,177402,171738,132193,192849,180128,187176,158286,180916,196102,167739,176605,159635,167902,172339,232870,237234,170017,235971
small_business,rural,Velingara,165936,220874,191251,219174,190190,186312,180039,193540,167582,183376,196570,162569,199644,172452,252645,247362,206616,183183,208165,181593,263736,232799,257910,234471,198924,193295,172447,165173,250358,180414,127042,180214,210290,288095,139946,197597,184803,132971,173435,171978,192386,228024,161714,214821,155558,253989,232526,177572,201274,196877,189162,237422,236513,161553,244964,183189,212018,255887,178092,236604,186526,148844,146888,191445,167942,177268,198560,207250,208289,182099,249893,190633,202205,248301,238880,232447,209885,274770,206401,200466,284088,182392,191054,173192,226303,175660,242334,225686,207848,223819,214554,235464,193708,195418,233552,204314,189657,213157,253396,204655
small_business,rural,Ziguinchor,133842,132656,151571,167380,146254,128077,162789,147489,82527,164410,174856,162564,110618,136778,124075,122993,209752,188295,113145,130009,145965,163714,158601,200974,365885,145935,167187,119832,127595,220108,86721,166819,170020,158079,201522,166062,129434,146624,107816,137819,179943,134984,138201,116365,131922,144294,174465,166412,118567,125578,123102,205438,118735,167811,142027,173867,173609,183431,140663,115503,133844,104730,180368,132943,84972,125889,165866,141610,186660,128485,151223,171599,107360,108497,139733,135520,112097,96526,163484,116615,116195,151386,140403,155925,122809,115122,98443,135494,130025,162059,101430,169900,124611,102174,101492,157175,185357,159113,133337,142339
small_business,urban,Bakel,246277,304035,267800,213177,220033,241863,298322,289115,182438,236804,293554,208062,153803,199977,230456,217868,283184,240918,193298,207490,224651,447366,238891,203030,279416,325338,201112,238941,262298,228072,278028,172695,234150,246005,232411,205053,267919,246596,203986,204717,283392,273272,286030,281875,404693,203439,212823,230726,193488,267876,152805,318893,163257,182057,315167,188828,210131,195529,247762,212164,235735,218851,201973,223298,204336,319549,225863,130285,176760,218149,210251,269087,233313,238518,274995,275129,358220,168243,159108,269426,201493,257032,185566,284640,257290,190070,289740,197784,213146,243395,273276,222903,238968,239335,271092,249944,286197,207711,276807,187961
small_business,urban,Bambey,169233,168323,146926,167711,106446,113281,131754,120393,126425,128816,117875,212713,178513,134699,144727,128447,133643,146879,116133,117881,114373,131331,168872,177992,123927,123336,118820,148868,157080,163344,140962,142070,119907,106722,140929,144243,128018,209561,122558,151589,163265,128086,154046,148478,142903,112320,160197,145719,176606,154740,146618,125950,79396,187406,111275,160148,129537,130628,117653,169720,108162,190614,131548,136284,132102,128326,189837,95076,101188,148934,171701,107908,126465,158183,129746,146538,117966,131265,125675,154399,126967,142242,133647,145057,121279,130156,118526,159624,140260,133496,122665,153666,151738,118814,135311,146790,161657,158476,160823,114606
small_business,urban,Bignona,162283,169732,189425,213876,183703,201873,183791,154900,151500,211542,110280,224801,188509,149171,209301,178878,180859,190200,175548,154818,145348,129298,178395,209058,151111,144342,185782,219220,172903,126354,257684,156131,172997,201406,116852,193756,181197,192399,129728,165946,193052,284182,226182,202423,105023,278396,137253,204853,157462,142715,159364,206085,167710,182172,141409,204576,110156,196263,191956,145601,269996,173271,151037,150410,166633,211343,188411,181359,201289,202805,199015,261601,186866,125117,201949,213685,189746,202756,174482,184350,123215,171918,195628,204535,165569,196966,136478,191024,142047,203405,132968,149434,128683,180941,194101,220459,202667,202736,251537,234311
