admin1,urban,sector,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
Dakar,rural,agri_aqua,0.019702125145249452,0.03275660370038261,0.028597891064325504,0.024308726826530756,0.04154647010291828,0.04372680518645413,0.017549951049081077,0.02651513127117171,0.024766457989310976,0.04084213633423364,0.022790202737054115,0.0331697117751319,0.044655451615573605,0.03157607858643238,0.031727780190704,0.04162762539363989,0.03659444340554064,0.027948756702880037,0.03644205489268145,0.02897607855562877,0.03800225427266648,0.025462861528365285,0.020634180740395643,0.02820046730858798,0.03693178307235924,0.041403392929975545,0.038728311481847036,0.02409119749844559,0.023821778241903555,0.036247717314486894,0.03713485510346304,0.03144101073308852,0.03142006139551046,0.030299716897818324,0.030490488006813442,0.034783632687250945,0.019932548306035913,0.037793790862446545,0.02129975931756983,0.02434990191304988,0.01908153357736927,0.05175058724438952,0.04010566523329106,0.025649385977424867,0.01677059670739112,0.01950082715918952,0.029614353479606247,0.034520590453231595,0.04047706245959258,0.02317518014273317,0.027496678994774537,0.03824903779637751,0.02700894958639025,0.02843020299250768,0.025077403990226906,0.039012208720901734,0.025768862737035488,0.02568207643319918,0.024999564743598296,0.03503867148100453,0.03981477564605399,0.03453196842328337,0.02541015886668961,0.021547056646871298,0.03015654187814554,0.019033209825231684,0.025122747481125036,0.03143232397019318,0.029756028976974883,0.02222618050331596,0.036105951470303446,0.03931027906153604,0.03551235213677148,0.0384273011522181,0.03200879063994206,0.024818610326287724,0.03112642698700147,0.035481552200982015,0.02625875970628045,0.025149287991928466,0.026817143561705507,0.030034478469132833,0.05565824996876597,0.033648184140314785,0.03025625287304244,0.01968776889909036,0.021367468632413213,0.02894093405963902,0.04775452301327333,0.03149289040724157,0.023823078856772432,0.01882890538445072,0.03393188962501172,0.025702010852017367,0.03481821394776265,0.035097113476120476,0.02072250642607673,0.025189856763547496,0.032221492377266195,0.03329412859066475
Dakar,rural,livestock,0.058090288900571836,0.06277548188895174,0.06596398927628822,0.07274290783818074,0.0773573474594532,0.07315693330871019,0.053032193871703596,0.09188010874764348,0.06582970875594706,0.05532524430690131,0.07645074972747466,0.08649971884601633,0.07746447130894625,0.05017439451572164,0.06659640811105831,0.05939939367539066,0.0574785255505732,0.06778146064291429,0.05703456353844365,0.07038044904711287,0.061974033384113954,0.08367313681427194,0.08277424481028081,0.0664669976830337,0.08800938972346306,0.04614311822616333,0.07021429307840217,0.07405488627907043,0.0840208695032805,0.07359082875645162,0.05567209417957194,0.07156664511269661,0.08444121289405218,0.07414238522913431,0.05146195343240849,0.06827631660759413,0.06311490720005117,0.08459937054640494,0.06416723826249118,0.08226212714826378,0.060787856412298884,0.08923780563630045,0.048099395139580794,0.06457798949432764,0.07983996207880129,0.08176807474115927,0.05262283540175513,0.08283361611613399,0.0786711459397244,0.09647499779528053,0.08259839369562229,0.08855071195168332,0.08487616206258485,0.07643414846270884,0.0568597779634309,0.06378475686971116,0.05075448012827069,0.051615051905412004,0.08956686259461247,0.071754843026898385,0.06304054499789452,0.06712137287275492,0.07825486886841547,0.0788600864511317,0.07031990323807874,0.07910430823214565,0.07293055666744573,0.08269612867135201,0.07929465833425123,0.07738166730367545,0.06636512631566877,0.06465040297678175,0.07662846270221925,0.0836597664607287,0.06768296832544611,0.066616606154958,0.07403220496092748,0.08525373308880385,0.08282580243580867,0.05975522207186623,0.057225772674626814,0.06547549850585892,0.09062909643106061,0.07954310623401564,0.08965346679771932,0.0669803554968254,0.08073656802769771,0.09514328290123142,0.08218968316403522,0.06841333891546048,0.07339044945125152,0.08349027095096158,0.07295094792885858,0.07826857896569278,0.07243594391894402,0.07199076809862263,0.062170609785229806,0.06094905821875057,0.061027567909626504,0.08421567458097398
Dakar,rural,professional,0.17008460765301298,0.1729782184159668,0.17291495362787324,0.16952415338903426,0.15920380315467086,0.15336426443516943,0.17164135605721964,0.14590205806165804,0.18315625432413382,0.17465115802494716,0.17237579344090315,0.1664968122509835,0.15981175583023935,0.16271085455660697,0.14923744734216157,0.17702375256120523,0.14468144713666295,0.15356542776269547,0.15592483464427967,0.15744253148108597,0.16263631000238124,0.16555127737580144,0.17726793764618073,0.17104942486410213,0.1603458283966565,0.16742571030330292,0.15875035840070725,0.176733018671042,0.16290276913542337,0.16394627926131247,0.18683480285493592,0.1726391046107357,0.1443856127575698,0.17484583960844233,0.1619432015992444,0.17212458587034418,0.17023203001270876,0.1582243758943172,0.16665116126343849,0.17516237857961212,0.16677707475510573,0.146951232465096,0.1500895479001435,0.1711904420202732,0.1699802335471904,0.17943752246714798,0.17757579975778046,0.1614660123612674,0.16286726674881746,0.15142818475925596,0.17013915032396018,0.16355527462513214,0.16187864947907724,0.1658644793910072,0.18740212352414004,0.15459253379090354,0.1798540866473225,0.16606980857535483,0.16998909950924046,0.16197521844910936,0.1604083081894627,0.16831262545716283,0.1616846849641074,0.1657461207733508,0.160722837833427,0.15695157824106,0.1757561125466351,0.1822107144758483,0.15432592562378938,0.14928927936899358,0.1689161963627871,0.16910728540770595,0.16726696560795262,0.17266501268165022,0.15979617111651093,0.1655294108565775,0.18393679638746632,0.16821151495640685,0.16089549204244524,0.1522551277285455,0.16490777333475493,0.18648205302924775,0.13596347916890425,0.16543308478129684,0.14885651712329487,0.16574201863237606,0.15833413967732024,0.15664763131556592,0.15358379060536084,0.16724299571524145,0.16392503352872162,0.15941631433370446,0.15573444313436013,0.14580691291147074,0.16969609133190935,0.14892645447236927,0.17893826831035026,0.1677274606539521,0.15815443542250288,0.15426101385187332
Dakar,rural,services,0.14358719844469278,0.13270985203001026,0.14123120173349646,0.1392737491256138,0.13390379070780023,0.14121504989649997,0.1386349418499277,0.15003754479402356,0.14214621874496364,0.1216945603486708,0.13329020439768682,0.14854072507843885,0.13944055710727,0.13878248164294468,0.15320159122298427,0.14161300479733327,0.14614487282692823,0.14145543432508573,0.15220441637562088,0.12886850097941185,0.15890673867700944,0.15439572971395563,0.14026815171039153,0.1385235779484192,0.13148023158815392,0.13914740408795406,0.13426775735094448,0.12983047029413833,0.14291516671284077,0.14586177237415515,0.1273776147406821,0.14548894655669445,0.13054076935867573,0.13864204131683672,0.16355343660738247,0.15827609600019527,0.14502802344317506,0.14585745748961856,0.1409989964542266,0.1308670367757551,0.14254661071502317,0.14002175169612205,0.1502354307470475,0.11850351621415993,0.13286268576561838,0.13557769666277114,0.16071139176867025,0.12041294825513474,0.13346248867488192,0.14509836396040546,0.13050300242074506,0.12725060429580953,0.13784933001952276,0.16121180601845037,0.14295961835370685,0.12677327328379479,0.1352705561385957,0.15098271099586544,0.15166079488062226,0.14966528254381797,0.12995381144987933,0.14079437828220542,0.13767929749535468,0.12406929308278727,0.13724791339911052,0.130149571480543,0.14940604143519143,0.13647600194216847,0.13092121972385215,0.15865117051923874,0.13388238791580742,0.13723686004159363,0.14443716713575305,0.12671648311458514,0.1317142196031405,0.14044836160155047,0.13952491684750148,0.13095632950979544,0.12787624195306205,0.151674470936763,0.13775453481989527,0.12682614404205686,0.12385497369489365,0.13400298710006117,0.14855509056211236,0.15609352937352594,0.15269074602332905,0.14072716226507984,0.13328554547144728,0.13791655370973965,0.14885591291945668,0.14551178930946576,0.14413556338359557,0.13081815539559224,0.14488272747691855,0.1745447036035015,0.14499023228283886,0.1433652262667252,0.136737727747594,0.13511470209490944
Dakar,rural,small_business,0.37616448405232233,0.3594246582417605,0.3627072286135745,0.3398833309775374,0.36344012387356556,0.3662253685810093,0.3756027844637274,0.3629019042082798,0.36067246138130327,0.3727859154965633,0.3696688996129442,0.3260224237784016,0.3520338713950036,0.39169983802750447,0.36737702757998847,0.35213654729591765,0.38250067170663365,0.38581566967694,0.3803175120753833,0.3785103859244669,0.34163860947808505,0.3571289710250301,0.3790711657899643,0.3490068498311914,0.34913250135368606,0.37708092979578434,0.3482044806937328,0.3550208516347576,0.3730629657779088,0.34880234277478833,0.375431870964066,0.3740644523461256,0.39372771308617277,0.38580627651309224,0.3748072022180891,0.36086031740673113,0.39022675329584644,0.36578759603396804,0.39059248280517134,0.35368646242607865,0.3703557532479635,0.36818325133106505,0.39446231193549436,0.360538458786516,0.3690721513491681,0.3777044015041108,0.3643493494653418,0.36703674686497834,0.35699809821915457,0.3597343651742979,0.3570994211246585,0.34581342804011245,0.3831636862964355,0.3484612613312483,0.3691769990458897,0.3646088887000177,0.374828239264463,0.3913789740016072,0.34948142554254896,0.37875643659693997,0.38510695110331505,0.35352369611736784,0.3588990134899025,0.3586726825097805,0.37898320016297676,0.38251250247083984,0.36952585462715354,0.35917178695132607,0.3606932110545854,0.3668132621199799,0.3580253208117629,0.35346530676209287,0.3718570787255907,0.36202025904831325,0.38525735771826375,0.3864721807715892,0.344067273483595,0.3544846005463137,0.36454012819807724,0.3925608612396049,0.365805718298693,0.3509721950854248,0.36714369618170856,0.3651725901294184,0.32888392259923643,0.35024376197764573,0.3580073826274394,0.364951692830081,0.370867473769392,0.37074289574980013,0.37091569911651107,0.357183662227335,0.37373024574398034,0.38336104911302077,0.35829104793353445,0.3433440102688897,0.38253967622689994,0.35555018409536465,0.3836546101208622,0.35873252778224435
Dakar,rural,trades,0.23237129580415064,0.239355185722928,0.22858473568444196,0.2542671318431029,0.22454846470159184,0.22231157859215703,0.24353877270834062,0.22276325291722332,0.22342889880434125,0.23470098548868373,0.22542415008393688,0.23927060827102764,0.22659389274296735,0.22505635267079,0.23185974555310349,0.22819967627651333,0.23260003937366117,0.22343325088948446,0.21807661847359094,0.23582205401229367,0.23684205418574397,0.21378802354257562,0.1999843193027871,0.2467526823646655,0.23410026586568114,0.22879944465681967,0.24983479899436628,0.24026957562254608,0.21327645062864298,0.23155105951880572,0.21754876215728103,0.20479984064065912,0.2154846305080191,0.196263740434676,0.21774371813606203,0.20567905142788434,0.21146573774218255,0.20773740917324474,0.21629036189710252,0.23367209315724044,0.2404511712922394,0.20385537162702697,0.2170076490444429,0.25954020750729834,0.23147437055183073,0.20601147746562126,0.21512627012684626,0.233730085949254,0.22752393795782908,0.22408890816802707,0.2321633534402393,0.23658094329088483,0.20522322255598946,0.21959810180407746,0.21852407712260571,0.25122833863467114,0.2335237750843126,0.21427137808856128,0.21430225272937747,0.20280954790222983,0.22167560861339447,0.23571595884722563,0.23807197631553043,0.2511047605360783,0.22256960348826135,0.23224882975017994,0.20725868724244928,0.20801304398911197,0.24500895628654687,0.2256384401847964,0.23670501712367042,0.23622986575028984,0.20429797369171285,0.21651117754250465,0.2235404925966968,0.21611483028903722,0.22731238133350842,0.22561226969769824,0.23760357566432638,0.218605030031292,0.24748905731032442,0.24020963086827882,0.226750504554667,0.2222000476148931,0.2537947500445947,0.2412525656205365,0.22886369501180032,0.21358929662840273,0.2123189839764914,0.22419132550251675,0.21908982612728659,0.23556905779408258,0.21951691018419361,0.2360432927622062,0.21987597539093112,0.2260969500804964,0.21063870696860432,0.2472182140016602,0.2282041664221483,0.23438195309933404
Dakar,urban,agri_aqua,0.0040858393747745525,0.0026941834099843396,0.0044433304670542725,0.005084772020476989,0.0040663424803706215,0.0032251421571597035,0.004478331027789815,0.0035830889866529957,0.004325470636558849,0.002732330051860474,0.005105775076394503,0.0035138625126370743,0.004537975022558211,0.0021337081241774264,0.002552306806975487,0.002523104370300981,0.0035689572666291127,0.003274639874954737,0.0026224527836280352,0.005117449270368242,0.004409999624818386,0.0040014476223878504,0.006529013662689895,0.003081728547024124,0.006587288416586021,0.005693492647750407,0.003266797028458686,0.003456204384171256,0.005917999792375667,0.002610698120287688,0.0028601206955975065,0.004605155654677007,0.005404776930667797,0.003349571924166289,0.004224914089831354,0.0034336926220231894,0.0055699880055208395,0.0029592976483274534,0.0038174878180624173,0.0032709995768523173,0.003246945743274227,0.004549795948933671,0.003340714788951236,0.005433737900466687,0.0048702361997609404,0.004687186471447853,0.004737794992242502,0.004481820226761575,0.0035409738729974102,0.0040620282773106385,0.0031518400637907326,0.004167578082403134,0.0031075430824693273,0.0054372733640191346,0.004103257938871503,0.003750261551528553,0.003359964037978534,0.005727130971224121,0.0036091729681922233,0.0071876993972712,0.005171932143825388,0.0015126409940148166,0.004596836416419606,0.004066451863075219,0.0030721876030880804,0.0028937957500126637,0.0038046468269917018,0.003872393046815292,0.0020174214969352192,0.004493505602815474,0.004521311517996828,0.0036080228603713373,0.00371118876856707,0.0034059881461051193,0.0022154101056740356,0.004809171384595834,0.00329786394904189,0.003620364951927559,0.00615277223556548,0.005120760368324435,0.003602918951115606,0.0031914411591376307,0.005551154131555734,0.005381589438336648,0.0041389273074505205,0.0037069568997281383,0.004544060287093262,0.0027969266643530707,0.004865872326782866,0.0035622682901955316,0.0034463910093759003,0.003703885945320817,0.004005883494339181,0.004597174925330874,0.003209380969473353,0.004655104716394128,0.004266234121177281,0.0034787856695447975,0.003901585247773476,0.003155635765050183
Dakar,urban,livestock,0.011622120065787658,0.011678437077464084,0.008853343643117888,0.011564050541846681,0.011155112822991387,0.01275153974995982,0.010000803488111842,0.010617284367177534,0.01104758500136446,0.008803520902522307,0.014650292000010931,0.012867617234440415,0.010561263093779617,0.010922374256881516,0.012113960894457045,0.010984245691505148,0.008120570992303648,0.008612002770420298,0.008565847334654195,0.010554466397361116,0.01295627989245612,0.01000345167807476,0.01980942599589272,0.009551914982595937,0.009591840550652028,0.011366311876541848,0.011886650965772884,0.012581783176058145,0.010506893009737459,0.011544644671142655,0.013798788869046539,0.012260717719700175,0.009187585579928546,0.01255670208662634,0.01407750209315603,0.012484979082047105,0.01120646563450971,0.01126430705850753,0.013174426538996736,0.013845227926156568,0.010790226634563194,0.008177834508612612,0.011342160412948306,0.011100612384609984,0.010807176853408446,0.014581688117456037,0.010818805132700829,0.011684465967212235,0.00888262209759318,0.008582801922296258,0.010972261756088982,0.018527128650618615,0.008861769019925837,0.01223748418315334,0.016094317790120303,0.01228844739234026,0.012250530852322262,0.012612213908244477,0.010152872307495796,0.010051743961595284,0.01077620368778071,0.013369635467209597,0.010797572402693176,0.015194109823232757,0.012613162128913823,0.015191363091136818,0.013687543270264203,0.011351860762096534,0.00884606041748551,0.00882813830575902,0.012629471751732048,0.009840976443494168,0.013687681230715495,0.012412401601105327,0.012824116959777832,0.01261530551212681,0.017025119493553648,0.013169859351084862,0.01571918200375756,0.007962395823830837,0.008811796513350352,0.014250074129936419,0.011262198561381335,0.00893203957955384,0.014306466670720714,0.011389755344474239,0.008915443063525015,0.009774912891550643,0.013705524588724444,0.008048522241792618,0.012940262816704207,0.00868715522706227,0.008388344258888614,0.008863378107245856,0.009954792307299008,0.014325474786230452,0.012168413041402404,0.012068844379960409,0.009616736292062182,0.012018149746390427
Dakar,urban,professional,0.28832179049738677,0.302646953615437,0.3029144736393089,0.2857459972675724,0.29850943547118863,0.2631367684180294,0.29208812029615117,0.2917818324324517,0.2717237301548298,0.3061404378908054,0.28940464572004443,0.27723315401655896,0.3051531806829526,0.279561741906401,0.2694835583271646,0.26967268244481124,0.29003194467058857,0.28700831894054213,0.2676305425390494,0.28390853474533856,0.27978784075838764,0.2862931257735249,0.2937089129356925,0.28648327461072487,0.28352315474760165,0.27921742570573294,0.28995507665162973,0.29996355625638055,0.29820280803256083,0.29303356671011555,0.27968074191707304,0.29033123776843944,0.28774856750226846,0.27289774206931033,0.2632890628326888,0.2843866193955926,0.27883156798115616,0.27619362489000965,0.29274937484780744,0.2828532803446508,0.27257507566330336,0.29682915736516036,0.28732118248325184,0.3044635503135575,0.2510317529471066,0.28785097058768344,0.28165790620139913,0.2937608686770552,0.29799949583575275,0.2838345291611344,0.2967083677191408,0.27115295506568193,0.2844358396175823,0.2851264355399062,0.29141800430986414,0.2894410602141208,0.2824736497275163,0.2848878808188609,0.2848527988041759,0.2786151525249304,0.29280765062031183,0.27316404871702177,0.27830341275918474,0.28147168070637524,0.2746404210193065,0.2999743732978523,0.28646110531315433,0.2725659693840573,0.3098751918092596,0.29360354032245706,0.2799357494548196,0.30075757398746444,0.28507697972328505,0.29578401293300177,0.30070434383926337,0.2913776231463901,0.2931759587936853,0.28192887877547085,0.2946198114067279,0.2805079137180499,0.2724636843221368,0.27860725691581584,0.28817200970537776,0.2824887043475195,0.2858475280008493,0.2885147748750747,0.29256268597520524,0.2710166327564628,0.31676146243931,0.29507557268675816,0.2777343827667415,0.2894647488619341,0.2954648426693374,0.284335866566664,0.27967468100601856,0.2798007397112061,0.28867067320738166,0.29228629590603356,0.2915132747881322,0.26899935612448916
Dakar,urban,services,0.2135555923536092,0.2078752534148362,0.20987396847751655,0.20777425851991635,0.2080178601148453,0.21593836700240038,0.20836647711721729,0.22346488191469313,0.22504960670884924,0.2125592438345068,0.22123495177657734,0.21481621817623048,0.2022810126297395,0.21984425624059745,0.22154806870833052,0.23258390376652519,0.19930443322504782,0.20729064719846263,0.24055411070854948,0.21918850774583679,0.21585278068008046,0.20901859122634742,0.2122814279823502,0.20586727316850165,0.20959761937262117,0.2144796542583157,0.22308213072797484,0.20731471233146337,0.21306718082070442,0.196144114009371,0.215559036908932,0.20940883098884835,0.2405057936599283,0.2286324183454333,0.2171014871293316,0.23304888729723144,0.21930729077285777,0.20105026656566627,0.2116920378772047,0.2058915593352706,0.21933446082412195,0.21497836293871586,0.20345437794775173,0.21465826030104657,0.22085987196241197,0.21486920689025005,0.20101968447226665,0.2114776384495076,0.2194086109249051,0.20812907176086962,0.2195446062754474,0.18894273344419935,0.20425565261429798,0.211731024203567,0.21183406954930845,0.22807410193201696,0.21739615123841619,0.22845533076508767,0.2156387710348134,0.21631596677566484,0.23141932875924148,0.22159228200328518,0.21459860534894218,0.21087295457611743,0.22012000659101322,0.2105501882442226,0.20086040591926216,0.20820522965540653,0.1980271632357193,0.22275959820039548,0.19569908729706087,0.22435619344254637,0.20620570697459845,0.19819712216493687,0.21991355463303988,0.21718701441353389,0.21069634436811543,0.21812904478370154,0.20560057911059026,0.21135473650179698,0.21185569028417722,0.21596904965906477,0.21041017874754603,0.23338250623426907,0.20378944934222773,0.20495579000639683,0.2212656351502376,0.22462878482334783,0.19427797730756563,0.22157065041607388,0.19720535545439158,0.20441996383992744,0.20503939963840326,0.21348615187706887,0.21480659693354479,0.2133769683566221,0.2000714393001503,0.20464612896300236,0.21354614482692155,0.21718205957569386
