sector,education,draw_1,draw_2,draw_3,draw_4,draw_5,draw_6,draw_7,draw_8,draw_9,draw_10,draw_11,draw_12,draw_13,draw_14,draw_15,draw_16,draw_17,draw_18,draw_19,draw_20,draw_21,draw_22,draw_23,draw_24,draw_25,draw_26,draw_27,draw_28,draw_29,draw_30,draw_31,draw_32,draw_33,draw_34,draw_35,draw_36,draw_37,draw_38,draw_39,draw_40,draw_41,draw_42,draw_43,draw_44,draw_45,draw_46,draw_47,draw_48,draw_49,draw_50,draw_51,draw_52,draw_53,draw_54,draw_55,draw_56,draw_57,draw_58,draw_59,draw_60,draw_61,draw_62,draw_63,draw_64,draw_65,draw_66,draw_67,draw_68,draw_69,draw_70,draw_71,draw_72,draw_73,draw_74,draw_75,draw_76,draw_77,draw_78,draw_79,draw_80,draw_81,draw_82,draw_83,draw_84,draw_85,draw_86,draw_87,draw_88,draw_89,draw_90,draw_91,draw_92,draw_93,draw_94,draw_95,draw_96,draw_97,draw_98,draw_99,draw_100
agri_aqua,no education,0.8311107662149688,0.8499743636340875,0.8369271505204008,0.862461899480005,0.8468207190360709,0.8433225139344387,0.8403762198510215,0.8403507308371836,0.8306554934571269,0.8491013326372028,0.852129295890202,0.8502394079256007,0.8356593985804847,0.8511779605466139,0.8491448910748856,0.8225820520459733,0.8477962174904415,0.8561075665998936,0.8431453787366018,0.8240193548098388,0.8609939475672483,0.8603367843140838,0.8242106880719346,0.8560361031490791,0.8396760894605372,0.8291195265612343,0.8416358086146933,0.8324623648561413,0.8329763734775344,0.8310756718950008,0.8339839933169975,0.8375063606589569,0.8314137392377653,0.8370854055614488,0.8448360126367923,0.8394700135661844,0.8387260957595999,0.8441057644501531,0.8442228447744481,0.8278491750156113,0.830744095172438,0.8541664277926931,0.8499998654379667,0.8427124317344856,0.8286983245506134,0.8531871150368385,0.8465143400903755,0.8435390845743707,0.840076851558301,0.8432273570674867,0.8453504910794376,0.8453230351502903,0.8565172943957681,0.8576759686098654,0.8353144028529107,0.8444344595714232,0.8338565758581928,0.8391962619883002,0.839875227141859,0.8354725407446084,0.8325516058813652,0.8518758466216965,0.8551576588761406,0.8315650631882735,0.8453844786174276,0.8428515572562467,0.8530843730204742,0.8433700747301093,0.8530392479719094,0.8541327917182654,0.8461475855215457,0.8442807006893501,0.8515967644195058,0.8378829761176793,0.8499973154182329,0.8393379047190137,0.8472909933250428,0.8446773298149851,0.834111332497939,0.8360517933364837,0.8456352745869015,0.8497995802745685,0.849962886657565,0.849352292229339,0.8330876452186758,0.8495760730679673,0.8447625891103707,0.862927417751287,0.8442320502969513,0.8272383549978477,0.846171016794387,0.8363941784907837,0.8263045597811054,0.8368588989763024,0.8400513238392578,0.8439491067643149,0.8432260351131358,0.8507073873019942,0.8624061379370871,0.8333127889268213
agri_aqua,primary,0.10102694020803671,0.08913371154178029,0.0957048137464066,0.0845221786997361,0.0925327839762069,0.09434192047446088,0.09328072570160484,0.09770533321800157,0.10240370633336326,0.09042739609768913,0.08915953225425943,0.09064635838629109,0.09989995500358217,0.09132144486274907,0.09020747255739259,0.10548102256508485,0.0902400872811917,0.08782078733594967,0.09503839733446018,0.10620624797738043,0.08579348471910186,0.08424427077240593,0.10627797294460295,0.08822476371630061,0.09302620985174037,0.09944265836119703,0.09692789932426393,0.10025499738464116,0.10139181153669763,0.09895561233773187,0.10083531669192214,0.09694150091620346,0.10006695992303338,0.09765159771910359,0.09375133241998945,0.09822539207454906,0.09838605516672028,0.09404262522668572,0.09375705556580372,0.10272675261402853,0.09980404743396343,0.08714781671025218,0.09180191139787675,0.09288790558308868,0.09810083613445042,0.08688417362864187,0.0918911843290412,0.09266713069020127,0.09452642627299657,0.09464833084336388,0.09370495346800112,0.09251418682330148,0.08459831778574056,0.08736654485353113,0.09895682327628219,0.09110318691135288,0.09758007134881808,0.09815531982661052,0.09544860326880955,0.10018380855990705,0.10132983423355979,0.09047542956203891,0.08657940702753186,0.10017176547068896,0.09371673410504755,0.09430654571516961,0.08796581303355844,0.09298528815339713,0.08888737256694956,0.09124117437823598,0.09083833082011739,0.09367010647694607,0.08965391983465609,0.09851766318655997,0.09061979334593029,0.09731121868481529,0.09188452413395931,0.09119601278287859,0.09915867241358145,0.09887528364031861,0.09228060394792781,0.09096258929058032,0.09095346309504881,0.09185524486657093,0.09860973883045876,0.09164584971401701,0.0931311584622907,0.08368896406693793,0.09156503177134911,0.10350471146624096,0.09307586755816277,0.09576187016422522,0.10362774867164382,0.0957309572655628,0.09529911846525085,0.09274213323627234,0.09063811377038722,0.08686346184399862,0.08452268732409374,0.09872617002290751
agri_aqua,secondary,0.039475947708623615,0.03719065523606535,0.03913765417292625,0.03132347574282879,0.03598280161670897,0.03711447222197295,0.03839142308151111,0.035971910242174165,0.039389296533204,0.0356802441169044,0.03389910251320438,0.0349141152802509,0.03691672550568037,0.03290944232817683,0.03609483321066276,0.04183757344074557,0.03578724585356696,0.03337278316118053,0.03584698080395654,0.0396832183358512,0.03084846081114412,0.0332676715760567,0.040860965699326735,0.03397611840590953,0.040436922646575724,0.04182505913494794,0.034176652545011676,0.03896708808593563,0.039354998258946616,0.04029181163751938,0.03767844153277067,0.039647319236601475,0.04133090021146579,0.038472183181923136,0.03588963230023734,0.03629991494487417,0.03631725013469844,0.03585300904195332,0.03569872597543822,0.04099384051026855,0.041295178175120406,0.034565090387881026,0.033545590856808305,0.03778402224325239,0.043231708040025185,0.03481336272262692,0.035221282642511564,0.0376364470002285,0.039008118263085256,0.03627973329987344,0.03592500788583808,0.0380679921121998,0.034666079603446254,0.03221310267852373,0.0391335925054328,0.03901309551707066,0.03952642373755022,0.03744747666099357,0.03890626020312149,0.03705164232203395,0.03927006457234794,0.03392685132359252,0.03467754757364694,0.04092067804614585,0.03602712508427586,0.036379456064986826,0.03498027541200732,0.037124943949834566,0.034660324210618265,0.03143306607320939,0.035910456200141994,0.036500788879301194,0.0338461050891955,0.03589257323231165,0.0356181365525462,0.037790270920666,0.03561051783735136,0.03719626130834208,0.03904771169228083,0.03738902462275673,0.03584131314596395,0.03307284967380619,0.034495136353974054,0.035306357676470834,0.040094172851203314,0.034365706840840504,0.03595961127840763,0.030341054840980042,0.03724761575421609,0.04083277787524864,0.03629426018215387,0.03913507816542694,0.04075830596436136,0.04071874949509524,0.0377675987239825,0.037381220734799436,0.03924473486695734,0.03826560789745337,0.030336790917499856,0.04061695201724436
agri_aqua,high_school,0.014516209673780978,0.011872484476554312,0.014635181174701972,0.010924231845604426,0.012564699127255885,0.012600942427722028,0.015177793605882783,0.013386593391496726,0.014115496684944384,0.01277197091233595,0.013411095057251687,0.011926213849970835,0.01346195767095748,0.01227145889120218,0.011836593553429475,0.014996446141834485,0.013140593427227731,0.011171302087517154,0.013477043791885523,0.015385403465820957,0.01072664266599066,0.01190974413669188,0.014804425897238849,0.010486137841642651,0.01450794399113553,0.01425699971776584,0.013496600711369156,0.015002131094408733,0.012733684100276421,0.014498696308476222,0.01358223703385586,0.013131485845100821,0.013969101366707593,0.012858580468868341,0.013271404869007353,0.013339340400849165,0.013970245455226071,0.013510472220874536,0.01352469047667848,0.014536276228862,0.013732071389737643,0.011772222375161068,0.012419395206583972,0.013628328264789102,0.014964381257399073,0.013646776486805012,0.013274143309165098,0.013110541225727967,0.013712380990656525,0.0130562306337213,0.012691333744164979,0.012668085118869077,0.012034755568412714,0.011365254584267293,0.013404939894599455,0.012582780172256225,0.014283988370845324,0.013601831483645577,0.012655596581578998,0.013941890067068252,0.014567557277021081,0.012146012471411782,0.012086618639219782,0.014252360620400695,0.012677755005520597,0.013010252682435053,0.011827197331467865,0.01333869004629007,0.01149086430678159,0.01183440700870042,0.014103105457471177,0.012372862768180948,0.012675289192369377,0.01486391197614545,0.012009731905897492,0.013099086083869671,0.012685321359445556,0.013427683798240553,0.013831419623545504,0.013925338170911683,0.013771563060388403,0.013596686233860122,0.01274183145446195,0.011470848269974465,0.014854240890488257,0.01144619197464114,0.013351094854976542,0.011220906314050816,0.013663672035366226,0.015060595352565764,0.012469331081150337,0.014742528456206494,0.014932184064140208,0.013697927701975976,0.013603830471286549,0.013214342390464262,0.014226777591231698,0.012118215536802701,0.011778366823842257,0.01440565308249031
agri_aqua,tertiary,0.013870136194589877,0.01182878511151253,0.013595200385564388,0.010768214231825723,0.01209899624375732,0.01262015094140545,0.012773837759979756,0.012585432311143951,0.013436006991361493,0.012019056235867742,0.011400974285082466,0.012273904557886461,0.014061963239295316,0.012319693371258045,0.012716209603629625,0.015102905806361755,0.013035855947572061,0.011527560815459026,0.012492199333095977,0.014705775411108624,0.011637464236515016,0.010241529200761712,0.013845947386896817,0.011276876887068132,0.012352834050011197,0.015355756224854855,0.013763038804661898,0.013313418578873137,0.01354313262654494,0.015178207821271772,0.01392001142445387,0.01277333334313735,0.01321929926102794,0.013932233068656097,0.012251617773973544,0.012665339013543164,0.012600353483755322,0.012488129060333364,0.012796683207631498,0.013893955631229638,0.014424607828740554,0.012348442734012588,0.012233237100764294,0.012987312174384202,0.015004750017511892,0.011468572125087673,0.013099049628906623,0.013046796509471603,0.012676222914960622,0.01278834815555463,0.01232821382255822,0.011426700795339362,0.0121835526466324,0.01137912927381246,0.013190241470774855,0.012866477827897072,0.01475294068459354,0.011599110040450111,0.013114312804630934,0.01335011830638233,0.012280938035705957,0.01157586002126032,0.011498767883460825,0.013090132674490995,0.012193907187728392,0.013452188281161792,0.012142341202492135,0.013181003120368961,0.01192219094374114,0.011358560821588815,0.013000522000723769,0.013175541186221662,0.012227921464273206,0.012842875487303673,0.011755022777393154,0.012461519591635328,0.012528643344201007,0.013502712295553665,0.01385086377265321,0.01375856022952926,0.012471245258818375,0.012568294527184887,0.011846682438950151,0.012015256957644826,0.013354202209173827,0.012966178402534001,0.012795546293954407,0.011821657026744203,0.013291630142117317,0.013363560308096933,0.011989524384146022,0.013966344723357671,0.014377201518749216,0.012993466561063594,0.013278128500222253,0.012713196874149069,0.012664338658287977,0.012045327419751062,0.010956016997477058,0.012938435950536564
livestock,no education,0.7857728743967203,0.8070642423646016,0.8002201712571525,0.7887794662469917,0.7799434743238101,0.786296767599703,0.7804025879161369,0.7923682223714568,0.8098098336982893,0.7931955293863165,0.7980440190370558,0.7911481341611136,0.7810777409729192,0.8009433878027239,0.8107690477102181,0.7943881454928523,0.7987347140944111,0.7913121628599088,0.788163365606378,0.8155057085881592,0.7782770609311357,0.788506102314968,0.8020804056204689,0.799520311527412,0.790826243602715,0.8045837242071072,0.8016129555904168,0.7930778905756151,0.7893952513414816,0.7760972450131661,0.7588748898026575,0.8011193434424676,0.7923131024977935,0.7930202836722953,0.790182031435207,0.7719961415178777,0.7645577677075015,0.8118912271546072,0.7843520929585757,0.776712137487161,0.7838020367779556,0.7680676355904283,0.7829853291094468,0.8077262400925276,0.7897962994123304,0.7906902357775168,0.8010393491272696,0.7960611807657141,0.7858267363072963,0.7895531457894743,0.8012407228671743,0.764675293399498,0.7916600583610178,0.7890271036084999,0.7887812989117887,0.7713981846570656,0.7710592531055995,0.7963693058679517,0.8029305472538697,0.7976377275870088,0.7889886480111622,0.8024890208027992,0.7970351549560271,0.8032062019008496,0.7766564613860893,0.796044458434737,0.795560530985108,0.7937423832458297,0.7902415454201966,0.805205128639507,0.8050278272030547,0.7998712711644169,0.7952514967226653,0.8207850004411671,0.8029636158745527,0.7899211178200148,0.8005710096101255,0.7927112035055475,0.8126964337468825,0.7862814760926854,0.7988489884503732,0.783090490734018,0.7791667177182123,0.8036752351984877,0.7913415557615356,0.8077133494847162,0.8082667411558374,0.8022235567859743,0.8079578481171866,0.8028107373407304,0.7771642906975553,0.7763423393995338,0.7953724503126732,0.7996728617961972,0.8032902794482156,0.7908328603295828,0.7859164281809468,0.805252806563623,0.7927136682969956,0.7957598602420614
livestock,primary,0.12524370263369045,0.11220623085827075,0.11506701447914414,0.12529130792865717,0.12856742184769987,0.12507060224756728,0.124356059773155,0.12415355213446821,0.1138507310150626,0.12052523080287336,0.1185797625960544,0.12279263692692821,0.12952998913645797,0.11925686676600666,0.1110422232431344,0.12050907228021834,0.11641699462090394,0.12342850313538989,0.12491779751207177,0.11088534658642857,0.13149574200007497,0.12312166931157731,0.11836601184820639,0.11958622358464654,0.11830332808732125,0.112289549507538,0.1191169650867987,0.12140161429875562,0.12513312008495758,0.12742305895854644,0.14097709095797695,0.11651458944791093,0.12085175310972829,0.12136289957161717,0.12339569341043843,0.1349341647618395,0.13839758894930876,0.11171721307627003,0.1259632203439498,0.12979535534566355,0.12442627926818084,0.13261674111919675,0.12854692928444822,0.11157072294557058,0.1178976861276061,0.1199982928638853,0.11646358118869049,0.1179193804245251,0.12311661942802898,0.12372020301894948,0.11787458507706006,0.13502735245281927,0.1188428529083152,0.12529758145700742,0.1239982054750911,0.12882105943014066,0.1300901967589645,0.12174630825879051,0.11532756899751984,0.12097793628414444,0.12496706597882001,0.11781933180051674,0.11786471002985566,0.11538628307549614,0.13081516829946005,0.11958419237271845,0.11895697470940103,0.11941359093288373,0.12300708819819983,0.11913484687450182,0.11275752055413446,0.1177781546885881,0.1203186552938138,0.10802520865011667,0.11633616634078447,0.12417918482611467,0.11726993165902921,0.11850014312527535,0.11078497966976042,0.12573231287049447,0.11748253944197695,0.12709223039817485,0.12924605092271158,0.11710860561217074,0.12066789989479876,0.1148252883832519,0.11298498796093026,0.11729473458672035,0.11083706180574482,0.11671606412775715,0.13026114685801737,0.12684279490015882,0.12019638756989315,0.1153355523977333,0.11507323435689065,0.12101210825991415,0.120077565560479,0.11069750767743802,0.1231578564258311,0.11868460150631133
livestock,secondary,0.05126509221185216,0.04889606122751522,0.048826423385444184,0.05003255775786719,0.05354312260340932,0.05216271381975435,0.0543824707823628,0.0480043365176438,0.04473230117525018,0.05032514734505944,0.047599102221574596,0.050222246595762576,0.05061858169130584,0.04520349165941351,0.04617877854067454,0.049198430371210966,0.04849202223679394,0.050097630595701936,0.049828388378890365,0.04178946554505014,0.051427262064462353,0.05229377220237885,0.046554765324397285,0.048787755483616135,0.054041698333088695,0.048412781015881756,0.04372173070039642,0.04911739099410084,0.05081028730352466,0.05487534764602964,0.05695781891061058,0.049458613184248934,0.051965449074933834,0.05001364056035995,0.04993714020706619,0.05346726926816059,0.055160925702673724,0.04399016917099219,0.05096511595154163,0.054612085219944984,0.05402797433122353,0.057430701749157986,0.050285666571079135,0.04700487654793961,0.05404928256744468,0.05119001844506843,0.04671819414425138,0.05024791077666946,0.05370211415538795,0.050085852262516384,0.047258225888561545,0.06042852051288783,0.051969570787626096,0.04952957489019372,0.05143927408443938,0.05946697471821205,0.056187082991967396,0.04853652273927611,0.048810775972085274,0.04649848338042373,0.05065617785686105,0.04644161000029001,0.05005640250920462,0.04852201296430636,0.0539706061012204,0.048364082990739576,0.05013310984943409,0.05012687094532131,0.05112909466775395,0.04311989923520365,0.04643463822691085,0.04800589983329506,0.04806940960119843,0.040033737626763544,0.047959306992608086,0.05073619585659794,0.04764207412862553,0.05092250318550373,0.04457957829006842,0.05001970806424938,0.04782582271841951,0.04941228736819059,0.052687335623041176,0.04715349172226513,0.05119471858509339,0.04491147627458325,0.04525122167182016,0.045167941170542014,0.046748307409681056,0.04720936839486656,0.05453464909344041,0.05509876829048921,0.04879332507304035,0.05095108857902508,0.04732718148484394,0.0514774692727098,0.05509365884169304,0.05105137910652113,0.04740134503850868,0.05073951454394676
livestock,high_school,0.01919743265910001,0.015879511667710733,0.018533330365081757,0.01794617256669251,0.019201196163732392,0.018115245720330297,0.02205084742795116,0.01819720897069066,0.01616031780742222,0.018419612107370753,0.019237258047608785,0.017553597974214075,0.01885150248317835,0.017175024865164534,0.01537026396219221,0.01783479689016132,0.018155357226586788,0.017192141810302708,0.01914217403064067,0.01625489040466488,0.018445739013000284,0.019269043877676473,0.017014409280079135,0.015384405393043976,0.0197975731021387,0.016667282330532163,0.01752440764878016,0.019211262597714218,0.016721948211546933,0.020197309534700447,0.02115432144324947,0.016621864671035103,0.017846605773196855,0.01700736425150673,0.018868413448134613,0.020175305513379427,0.021855900064475353,0.016784406210139657,0.01977127182856897,0.01977434737919892,0.018314209327599862,0.020249954617348576,0.01910186465196162,0.017193384606751905,0.019020536886087958,0.020586714147944107,0.01792137866523802,0.017840624671164762,0.019304996147287645,0.01840821295954065,0.01698272116071342,0.02079940077178377,0.018519641730453285,0.01793707117794674,0.01795022370458832,0.01977731776276026,0.02083653524211504,0.017929460432508093,0.01611174342128019,0.017752812627677028,0.01912357228907191,0.016943111297114344,0.017855219222104313,0.01709476447183067,0.01951771463097729,0.017614304709962614,0.01733869530773513,0.018371076768549766,0.01737102441255267,0.016525678838608227,0.01853776599601409,0.016555047664695732,0.018399398134580913,0.01668680869191963,0.016470309815811324,0.0179332802711627,0.017282986834575298,0.01877333975000728,0.01592325391590277,0.018996702915324626,0.018720736625380985,0.020847929532621934,0.020014437638283034,0.01558906129666593,0.01929482053520959,0.015193738674974755,0.017040964681438786,0.017085047519219243,0.017399523528422445,0.017583520949054576,0.019259780275837746,0.021281448140841985,0.018098067206729906,0.01740499904366022,0.017296787386377743,0.01859151650045543,0.020466067043355074,0.016473894436087266,0.018895536960996884,0.018275140802415768
livestock,tertiary,0.018520898098637106,0.015953953881901684,0.01735306051317742,0.01795049549979144,0.018744785061348357,0.018354670612645063,0.01880803410039411,0.017276680005740563,0.015446816303975708,0.0175344803583799,0.016539858097706417,0.018283384341981512,0.019922185716138685,0.0174212289066914,0.016639686543780785,0.018069554965557066,0.018200911821304233,0.01796956159869667,0.017948274472019188,0.015564588875697227,0.020354195991326707,0.016809412293399384,0.0159844079268483,0.016721304011281357,0.01703115687473633,0.01804666293894086,0.018023940973607933,0.017191841533814256,0.01793939305848924,0.021407038847557347,0.02203587888550551,0.01628558925433743,0.017023089544347503,0.018595811944220886,0.01761672149915372,0.019427118938742827,0.020027817576040663,0.015616984387990973,0.018948298917363937,0.019106074568031595,0.019429500295040203,0.02163496692386835,0.019080210383064178,0.016504775807210326,0.019236195006530843,0.01753473876558531,0.017857496874550516,0.017930903361926598,0.018049533961999153,0.018232585969519155,0.016643745006490684,0.019069432863011104,0.019007876212587593,0.018208668866352196,0.017830997824092476,0.020536463431821472,0.02182693190135354,0.015418402701473544,0.016819364355245003,0.017133040120746013,0.016264535864084828,0.01630692609927975,0.01718851328280835,0.015790737587517256,0.019040049582252916,0.01839296149184233,0.018010689148321712,0.01834607810741551,0.018251247301296902,0.016014446412179306,0.017242248019885942,0.017789626649004187,0.01796104024774159,0.01446924459003307,0.016270600976243443,0.017230221226109843,0.01723399776764445,0.019092810433666174,0.016015754377385893,0.018969800057246133,0.017121912763849334,0.019557061966994582,0.018885458097751884,0.016473606170410493,0.01750100522336262,0.017356147182473913,0.01645608452997338,0.018228719937544047,0.017057259138965053,0.015680309187591335,0.01878013307514914,0.0204346492689762,0.017539769837663366,0.016635498183384168,0.01701251732367204,0.018086045637337844,0.018446280373526136,0.01652441221633061,0.0178315932776677,0.016540882905264787
professional,no education,0.2544363126334875,0.25333195468854186,0.2749901424490418,0.2648813353731858,0.2523797998574363,0.2527724651700242,0.27825980616167884,0.267624202460389,0.24541079150393433,0.2670189929072035,0.25122304100186693,0.26364283308296843,0.24600386403715518,0.26334785347472606,0.27285011705602263,0.2595593685337973,0.2668018000636391,0.2620752844950052,0.2750938272716437,0.2531201597624139,0.27220974598316683,0.2688804760365804,0.2562312137108068,0.25582739977785923,0.25870888164136363,0.27178401470827174,0.27973428944909995,0.26307634940573776,0.2665749438804496,0.28853085920665467,0.25741457444059807,0.24597418748918848,0.2598573714039792,0.2652690078667911,0.24278517481941334,0.26606301386907466,0.2661352713126275,0.26399825429545526,0.2631015529158649,0.2766480048063766,0.26380011277007,0.279645645514254,0.26970692887682074,0.2788787887748169,0.2799257383617683,0.2848743613390149,0.2613101747215927,0.2497211578858436,0.25943446566203526,0.2462729177272094,0.2703376814884946,0.2597323754326846,0.2730644447796015,0.26013249990795373,0.27327689161743646,0.26001126617547227,0.27575239225903436,0.2521911623471328,0.26892569270608363,0.2598265995435175,0.25656486532284545,0.2609879478705677,0.2736384865952184,0.27565853703786364,0.27149712936979253,0.266485017676048,0.267839859200981,0.2634002356770424,0.2786676771290951,0.2410484483052616,0.2681910270284079,0.2621100965151418,0.2563074518551147,0.25923086168289544,0.25805162566457424,0.2556085245593161,0.26311124698697685,0.2734258644162294,0.25822972444136316,0.2747549476577593,0.27775198816513097,0.2683951914142798,0.2596804655039964,0.24030647637054897,0.26841482779031534,0.27687419056027773,0.2564275570738993,0.26721475835085395,0.2774551892290789,0.2657624010589054,0.25838874046297333,0.2703080942248936,0.2721443740697604,0.24477061825872964,0.25328466888590667,0.2598189069479123,0.2696951111340335,0.2714199995334175,0.25956513422446825,0.26615480249824436
professional,primary,0.23341357976223598,0.22680600266826262,0.2307221090118699,0.24163079636857254,0.23369630114546763,0.23318622772461955,0.2292721240458146,0.24488068933546314,0.23488441927992984,0.234441002943296,0.23156376406158402,0.2372946658184003,0.23627356352961976,0.24270935018306844,0.23514670098689933,0.2342184526891395,0.23042572835138692,0.23914471308386992,0.24215682312401393,0.23795578801873013,0.24572505626407315,0.23547441383737633,0.2396263810686824,0.2389727876913635,0.22141409940333728,0.22817098529184976,0.24776792422955585,0.23591865194769351,0.24264151207473345,0.23429576237564154,0.23998794892628145,0.22832847419631586,0.23196085897834973,0.2363259867229378,0.23089667119005333,0.24453789727149994,0.2434510538141661,0.23719674342923008,0.23599094808063686,0.23933654632294904,0.23068011148114115,0.23564958083767923,0.24359742985420724,0.23299397898143587,0.22439165433252423,0.23326018070603205,0.23292008139814152,0.2256188661293443,0.22855284645472645,0.23210307919603748,0.24051311460293112,0.23228830205774292,0.2283605513622235,0.24068499936359322,0.23982011175069734,0.2243763107855697,0.23177953794845896,0.2393846349113442,0.23460424864578305,0.24147839749322708,0.23848029687782796,0.23995705100422243,0.23408089999707726,0.23704372926375544,0.2409552951266587,0.23603996085956674,0.23358513694084398,0.2307975247948043,0.2404480013026442,0.24314182366028989,0.22950648924707817,0.2354674224399554,0.2340687368567097,0.23999663893176293,0.23490634001248267,0.23723946327998985,0.23529875837257347,0.22903911561343848,0.23372097103336065,0.24153678312115423,0.23693378656745828,0.2389342835204088,0.236809592152935,0.23287428853146497,0.23226267179504934,0.24364178408723902,0.2325917087954506,0.23947734200564552,0.2305866172381263,0.2381750175476059,0.2363664519153338,0.22858940756189705,0.23840905832739684,0.2216375595444467,0.2297618326573082,0.2300599757614355,0.22256050825187845,0.22399762876803286,0.2399198659576528,0.23257770021682883
professional,secondary,0.21573756971924724,0.2314112363462974,0.21211915706472817,0.21504928698238557,0.22107964051759704,0.22241323233058008,0.21051413118053175,0.20998979773497484,0.2203222747436745,0.2165880900922622,0.2131027454817772,0.21680680519145057,0.21163403952474957,0.2065253306727185,0.2179092980321098,0.2152134597910298,0.21125800341492695,0.21867483401270404,0.20862164008787387,0.20888460005535958,0.20731822060984273,0.22057720633416844,0.2177008854105028,0.22732343161992008,0.2269789150862878,0.21600312375155173,0.1953151589342209,0.2124474522019692,0.22056222736490494,0.20654958163176917,0.21190433032508516,0.22983716528659986,0.22627236917033983,0.21691445925773645,0.21846814466270242,0.21134809906171903,0.20909299057249742,0.2115963961392524,0.20996273589320696,0.21504453468856322,0.22141485303267033,0.21307906400040166,0.20724736819617207,0.21338623289270486,0.21798277364008312,0.20869778086363122,0.20884599851022184,0.2214841084130073,0.22303821968691406,0.21764897810103684,0.21451977517480714,0.23022532828177067,0.2157192628887955,0.21402692102358511,0.21761539757103365,0.22815809039896373,0.20972185409797794,0.22267711347417307,0.22259697206794138,0.20999373078953587,0.22052845037524438,0.215545631946913,0.21767508900010146,0.2200692683519886,0.21524074400182258,0.21110503377838363,0.2180986562489703,0.21491936130856848,0.21606139783859968,0.21134151011444474,0.20748288107469848,0.21661620035003615,0.21126179304799564,0.20457055584602035,0.22306116274845794,0.22190469474439267,0.21488678057808758,0.2118511961644599,0.21666080593863413,0.20664183121778623,0.20790714718217618,0.19970199924467147,0.21417988438967228,0.22676718183655148,0.2162293665667897,0.20988344440258722,0.2133947937155964,0.20394494167312438,0.21086995701063682,0.21703092682504987,0.221662305293999,0.21137749373369136,0.211901156126725,0.23092273961386944,0.21736748435369752,0.21929186636266357,0.22076500602356447,0.22987325253965146,0.20676288018454048,0.22198430703456407
professional,high_school,0.1277926348630477,0.1218621927214385,0.12498835744050807,0.11917130125822228,0.1257858473779273,0.12262651871444652,0.13179563530820093,0.12238588784286919,0.12897897433643635,0.1237675744107618,0.13878004090469487,0.11764712027597546,0.12422908181188408,0.12105780688567525,0.11216693922950105,0.12239021783171966,0.12333709303282658,0.11666895643473318,0.12217022549921652,0.1290796231121627,0.11157447268739573,0.12734960072934653,0.12601123080818732,0.113104099976571,0.13486417922987848,0.11547243460919465,0.11683986912979993,0.13044776327524343,0.11170378734749797,0.1131041300483625,0.12086278504370063,0.1261312990003669,0.12353587889070283,0.11407560762663094,0.13386445680913495,0.1219012968211235,0.12662672092774419,0.12691161779839388,0.12653685756601352,0.11847285021046627,0.11710911968758819,0.11292401574102107,0.1197641188643559,0.12055371980914953,0.1183414797246285,0.12841697052782397,0.12546728089952364,0.12681206459841132,0.12753547290210743,0.12821179126306315,0.11911117380654901,0.12518208937283903,0.11897331690580082,0.1203819225422047,0.11653459494270313,0.11984555635954819,0.11790098194089638,0.13205603100322771,0.11457634608730716,0.12500785487652322,0.13250755929249347,0.1233388661939423,0.12041041988961165,0.12042059066691835,0.11896923079458821,0.11879887736505768,0.11722463028269914,0.12343448410095004,0.11135285450918364,0.12967495146451402,0.12977464851231946,0.11651662718610212,0.1274673763013896,0.13502675806574038,0.12164503420466832,0.12418431451618206,0.12201624126814781,0.12054927683909678,0.12273775212529447,0.11897129650204652,0.12493857945873688,0.12888046065351522,0.12711656801615956,0.12190615210307365,0.12759720410881137,0.10727970114495466,0.12778800393049128,0.11818616891104183,0.12133429370014392,0.1270780365030334,0.12280035448755577,0.12621494768578068,0.12100529118846337,0.13023732185412518,0.12715425337425856,0.12527931154574568,0.1295684972166068,0.11753020986658536,0.12843689011355208,0.1262517263704398
