Department,FR_Code,MIDASIndex
Saint Louis,SN1003,37
Louga,SN0803,25
Kebemer,SN0801,19
Tivaoune,SN1303,43
Dakar,SN0101,7
Guediawaye,SN0102,14
Pikine,SN0103,33
Rufisque,SN0104,36
Thies,SN1302,42
Mbour,SN1301,29
Fatick,SN0301,9
Foundiougne,SN0302,10
Bignona,SN1401,3
Oussouye,SN1402,32
